"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №1899"	"УИК №1900"	"УИК №1901"	"УИК №1928"	
564	1542	1399	1364	1366	989	555	1208	885	485	205	159	82	1418	112	537	408	642	425	235	959	670	160	285	110	143	
520	1400	1260	1220	1250	1000	520	1100	820	460	190	150	85	1300	110	510	390	580	400	205	830	660	160	280	110	150	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	
207	729	688	705	647	385	217	503	389	241	97	51	67	687	55	230	177	247	129	107	422	165	124	260	80	143	
7	28	31	22	23	22	4	24	15	8	13	3	12	58	2	16	8	31	14	6	19	36	36	11	30	0	
306	643	541	493	580	593	299	573	416	211	80	96	6	555	53	264	205	302	257	92	376	442	0	9	0	7	
7	28	31	22	23	22	4	24	15	8	13	3	12	58	2	16	8	31	14	6	32	53	36	11	30	0	
207	729	688	704	647	385	217	503	389	241	97	51	67	687	55	230	177	247	129	107	422	165	124	260	80	143	
3	18	14	18	13	10	3	14	5	6	3	0	0	11	2	2	3	3	1	1	4	12	3	0	3	3	
211	739	705	708	657	397	218	513	399	243	107	54	79	734	55	244	182	275	142	112	450	206	157	271	107	140	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	5	4	3	2	0	3	2	2	1	0	0	1	0	1	2	0	1	2	3	0	0	0	1	2	
42	163	167	132	147	95	50	120	89	65	11	8	4	91	3	17	19	21	10	5	61	30	17	33	14	20	
17	49	51	43	45	31	17	29	21	9	9	3	3	77	1	27	28	48	21	8	42	40	24	30	17	25	
143	508	469	517	446	257	149	348	274	161	86	43	71	549	50	195	129	197	106	95	329	132	105	203	74	92	
0	6	4	4	5	3	0	1	2	2	0	0	0	7	0	2	2	3	1	1	5	1	4	2	0	1	
3	3	3	2	1	3	1	1	4	0	0	0	0	3	0	1	1	1	1	1	4	2	3	0	0	0	
1	4	2	4	4	1	0	2	4	2	0	0	1	3	0	1	0	4	1	0	3	0	2	2	0	0	
2	4	4	2	6	5	1	9	3	2	0	0	0	3	1	0	1	1	1	0	3	1	2	1	1	0	
