"УИК №1662"	"УИК №1663"	"УИК №1664"	"УИК №1665"	"УИК №1666"	"УИК №1667"	"УИК №1668"	"УИК №1669"	"УИК №1670"	"УИК №1671"	"УИК №1672"	"УИК №1673"	"УИК №1674"	"УИК №1675"	"УИК №1676"	"УИК №1677"	"УИК №1678"	"УИК №1679"	"УИК №1680"	"УИК №1681"	"УИК №1682"	"УИК №1683"	"УИК №1921"	"УИК №1922"	"УИК №1923"	
727	227	648	215	523	786	821	773	766	177	431	412	578	297	338	786	178	240	81	395	192	238	820	417	67	
740	233	656	222	530	811	850	804	802	170	450	410	600	296	336	794	185	243	80	410	190	243	850	433	62	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
285	120	296	97	239	258	330	372	272	73	172	134	275	152	184	349	56	105	37	127	85	97	377	147	23	
84	5	11	15	22	19	30	25	33	7	7	10	20	11	9	22	8	11	5	12	3	7	43	3	4	
371	108	349	110	269	534	490	407	497	90	271	266	305	133	143	423	121	127	38	271	102	139	430	283	35	
84	5	11	15	22	19	30	25	33	7	7	10	20	11	9	22	8	11	5	12	3	7	43	3	4	
285	120	296	97	239	258	330	372	272	73	172	134	275	152	184	349	56	105	37	127	85	97	377	147	23	
4	0	2	1	2	2	8	2	2	2	2	0	4	1	2	5	1	1	0	1	1	0	4	2	1	
365	125	305	111	259	275	352	395	303	78	177	144	291	162	191	366	63	115	42	138	87	104	416	148	26	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	0	1	0	0	1	2	1	0	1	0	0	2	0	1	0	0	0	0	0	1	2	2	0	
11	19	18	2	23	36	66	59	34	5	12	7	16	1	6	40	3	7	2	8	4	0	59	12	3	
22	1	15	7	21	26	18	30	20	5	22	14	23	8	11	32	1	17	0	19	10	3	18	16	4	
329	102	264	98	215	211	266	293	246	67	141	122	251	147	174	281	59	90	40	111	73	99	330	114	19	
0	1	3	2	0	0	0	7	2	0	1	0	1	2	0	7	0	0	0	0	0	0	3	1	0	
2	1	3	1	0	1	0	1	0	0	0	1	0	1	0	4	0	1	0	0	0	0	1	2	0	
0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	
1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	
