"УИК №87"	"УИК №88"	"УИК №89"	"УИК №90"	"УИК №91"	"УИК №92"	"УИК №93"	
346	242	1364	1859	1408	487	70	
350	250	1300	1800	1300	500	70	
0	0	0	0	0	0	0	
237	164	802	1182	737	318	51	
43	17	45	60	173	65	0	
70	69	453	558	390	117	19	
43	17	45	60	173	65	0	
237	164	801	1182	737	318	51	
2	4	30	29	41	36	0	
278	177	816	1213	869	347	51	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

0	1	8	7	7	3	1	
26	10	128	204	104	27	3	
36	15	78	132	110	65	7	
203	150	583	840	623	248	40	
6	1	3	14	9	0	0	
1	0	3	6	3	1	0	
6	0	7	5	7	0	0	
0	0	6	5	6	3	0	
