"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	
1992	2088	994	2023	2103	1658	2317	1791	2589	
1400	1600	800	1400	1500	1100	1700	1400	2800	
0	0	0	0	0	0	0	0	0	
1047	1081	553	998	1115	912	1312	910	2049	
62	56	28	61	52	19	41	47	0	
291	463	219	341	333	169	347	443	751	
62	56	28	61	52	19	41	47	0	
1045	1079	552	995	1111	910	1307	902	2043	
21	15	9	18	19	13	19	8	21	
1086	1120	571	1038	1144	916	1329	941	2022	
0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	

10	13	10	8	13	18	21	14	18	
137	167	61	129	162	122	193	110	203	
30	34	14	24	28	30	45	29	96	
702	706	391	659	722	589	839	629	1614	
86	86	47	94	107	80	118	71	37	
5	10	3	9	13	4	9	8	12	
28	32	15	33	28	22	36	28	19	
88	72	30	82	71	51	68	52	23	
