"УИК №2245"	"УИК №2246"	"УИК №2247"	"УИК №2248"	"УИК №2249"	"УИК №2250"	"УИК №2251"	"УИК №2252"	"УИК №2253"	"УИК №2254"	"УИК №2255"	"УИК №2256"	"УИК №2257"	"УИК №2258"	"УИК №2259"	"УИК №2260"	"УИК №2261"	"УИК №2262"	"УИК №2263"	"УИК №2264"	"УИК №2265"	"УИК №2266"	"УИК №2267"	"УИК №2268"	"УИК №2269"	"УИК №2270"	"УИК №2271"	"УИК №2272"	"УИК №2273"	"УИК №2274"	"УИК №2275"	"УИК №2276"	"УИК №2277"	"УИК №2278"	"УИК №2279"	"УИК №2280"	"УИК №2281"	"УИК №2282"	"УИК №2283"	"УИК №2284"	"УИК №2285"	"УИК №2286"	"УИК №2287"	"УИК №2288"	"УИК №2289"	"УИК №2290"	"УИК №2291"	"УИК №2292"	"УИК №2293"	"УИК №2294"	"УИК №2295"	"УИК №2296"	"УИК №2297"	"УИК №2298"	"УИК №2299"	"УИК №2300"	"УИК №2301"	"УИК №2302"	"УИК №2303"	"УИК №2304"	"УИК №2305"	
1827	2053	1512	1364	1578	1868	1629	2035	1918	2271	1592	1509	1379	1702	1667	1867	1960	1867	2295	2088	1935	2099	2160	2251	2330	2394	2240	2253	2181	1390	1671	1625	2541	2481	2269	2301	2002	2211	2465	2547	2296	2095	2041	2041	2106	2172	2172	2107	2480	199	2352	2559	2330	2540	2381	1310	1543	2379	2044	2427	2525	
1750	1950	1400	1350	1550	1850	1450	1950	1143	1402	972	882	1330	1700	1650	1119	1198	1135	2250	2100	1900	2050	2150	2200	2200	2400	2200	2200	2100	1350	1650	1570	2450	2400	2250	2300	2000	2200	2450	2550	2300	2100	2000	2050	2100	2150	2150	2100	2500	199	2350	2100	2300	2500	2350	2450	1500	2300	2050	2350	2450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1102	1246	885	861	894	1016	814	1229	1109	1354	951	853	781	1030	976	1067	1154	1099	1331	1327	1261	1330	1282	1426	1402	1434	1313	1516	1048	886	941	842	1442	1261	1417	1274	1060	1319	1461	1605	1417	1267	1300	1126	1084	1321	1201	1150	1535	163	1501	1441	1374	1554	1282	1250	844	1251	1106	1296	1620	
27	47	29	24	33	30	161	47	34	48	21	29	33	34	39	52	44	36	25	50	34	35	30	34	29	58	49	15	41	9	26	27	35	49	16	32	27	12	74	49	23	20	12	17	31	20	50	56	14	0	15	437	66	47	36	60	37	99	55	84	6	
621	657	486	465	623	804	475	674	0	0	0	0	516	636	635	0	0	0	894	723	605	685	838	740	769	908	838	669	1011	455	683	701	973	1090	817	994	913	869	915	896	860	813	688	907	985	809	899	894	951	36	834	222	860	899	1032	1140	619	950	889	970	824	
27	47	29	24	33	30	161	47	34	48	21	29	33	34	39	52	44	36	25	50	34	35	30	34	29	58	49	15	41	9	26	27	35	49	16	32	27	12	74	49	23	20	12	17	31	20	50	56	14	0	15	437	66	46	36	60	37	99	55	84	6	
1102	1246	885	861	894	1016	814	1229	1108	1353	951	851	781	1030	976	1064	1151	1096	1331	1327	1260	1329	1282	1424	1401	1431	1313	1516	1048	886	941	841	1442	1261	1417	1273	1059	1319	1461	1605	1415	1267	1300	1126	1084	1321	1200	1150	1535	163	1501	1441	1374	1550	1281	1250	844	1251	1106	1296	1620	
10	14	8	8	10	13	0	13	8	6	4	0	4	8	8	11	4	4	12	17	13	16	14	14	15	15	12	11	7	2	3	1	5	9	14	10	14	17	18	15	13	16	21	14	17	16	23	15	18	8	8	16	11	13	27	13	6	19	20	15	14	
1119	1279	906	877	917	1033	975	1263	1134	1395	968	880	810	1056	1007	1105	1191	1128	1344	1360	1281	1348	1298	1444	1415	1474	1350	1520	1082	893	964	867	1472	1301	1419	1295	1072	1314	1517	1639	1425	1271	1291	1129	1098	1325	1227	1191	1531	155	1508	1862	1429	1583	1290	1297	875	1331	1141	1365	1612	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	7	14	11	6	3	7	15	12	16	3	7	4	7	5	4	10	10	9	15	6	4	13	9	8	7	15	16	6	5	8	3	9	7	11	6	4	6	9	18	7	10	12	7	9	12	12	5	9	6	10	9	13	7	8	6	4	14	6	7	10	
103	117	79	82	80	80	83	109	107	112	87	79	67	96	78	82	98	85	125	120	110	97	127	97	149	123	124	137	70	78	104	77	104	96	151	117	103	134	120	155	135	106	102	79	83	102	100	97	132	5	139	122	125	150	133	131	91	155	91	114	168	
70	71	53	68	52	64	62	76	88	90	59	47	43	66	84	64	90	79	85	93	91	100	68	103	85	98	86	109	75	45	65	65	119	94	92	89	81	79	94	102	93	107	89	99	77	104	85	75	99	12	98	106	97	99	87	82	49	74	89	83	94	
871	1017	715	672	738	816	787	990	872	1101	764	709	659	834	795	901	941	893	1063	1060	1023	1080	1046	1163	1106	1171	1072	1192	876	713	746	699	1162	1061	1091	1033	843	1044	1223	1276	1128	1003	1031	897	896	1047	989	981	1220	127	1205	1553	1120	1256	1024	1034	684	1024	917	1110	1246	
31	26	13	18	14	28	13	28	24	32	20	20	13	21	19	27	18	21	24	22	19	19	17	30	32	29	19	21	19	26	21	15	31	19	22	18	20	26	37	43	21	16	24	16	12	25	19	8	30	1	26	33	24	30	21	22	21	26	20	23	44	
5	4	12	6	6	10	5	8	7	10	5	5	8	7	5	8	9	14	7	6	8	13	7	10	10	15	9	12	10	5	8	1	6	10	20	8	5	3	10	15	10	4	12	7	6	9	7	7	9	3	7	13	12	13	10	8	9	4	5	10	9	
9	19	8	5	3	14	10	15	9	14	20	4	11	11	14	11	6	16	5	18	13	16	6	16	13	18	13	20	18	9	6	3	16	7	14	12	10	9	15	17	11	10	10	9	7	14	7	9	13	0	7	9	20	18	3	8	13	18	5	11	25	
18	18	12	15	18	18	8	22	15	20	10	9	5	14	7	8	19	10	26	26	11	19	14	16	12	13	12	13	8	12	6	4	25	7	18	12	6	13	9	13	20	15	11	15	8	12	8	9	19	1	16	17	18	10	4	6	4	16	8	7	16	
