"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	
203	263	181	1093	154	244	1179	109	219	220	
220	300	190	1300	190	200	1200	150	230	230	
0	0	0	0	0	0	0	0	0	0	
103	178	142	834	84	111	886	62	151	123	
96	74	35	179	69	39	111	42	58	88	
21	48	13	287	37	50	203	46	21	19	
96	74	35	179	69	39	111	42	58	88	
103	178	142	834	84	111	886	62	151	123	
1	2	3	15	0	1	16	0	4	4	
198	250	174	998	153	149	981	104	205	207	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

1	1	0	11	0	2	7	0	1	1	
9	25	9	106	7	27	129	13	12	18	
9	36	25	125	8	16	120	2	16	21	
178	180	140	731	135	100	692	85	171	165	
1	1	0	11	0	1	16	1	3	0	
0	1	0	9	0	3	8	2	0	1	
0	1	0	4	0	0	4	1	1	0	
0	5	0	1	3	0	5	0	1	1	
