"УИК №2233"	"УИК №2234"	"УИК №2235"	"УИК №2236"	"УИК №2237"	"УИК №2238"	"УИК №2239"	"УИК №2240"	"УИК №2241"	"УИК №2242"	"УИК №2243"	"УИК №2244"	"УИК №2245"	
1158	595	957	1217	323	414	147	179	107	74	167	62	161	
1098	579	960	1282	347	409	150	180	111	85	161	60	178	
5	0	0	0	0	0	0	0	0	0	0	0	0	
722	334	593	730	196	343	101	144	75	50	120	48	128	
17	28	14	10	4	7	0	5	4	1	2	0	2	
354	217	353	542	147	59	49	31	32	34	39	12	48	
22	28	14	10	4	7	0	5	4	1	2	0	2	
722	334	593	730	196	343	101	144	75	50	120	48	128	
13	2	3	15	3	1	0	0	0	0	2	0	0	
731	360	604	725	197	349	101	149	79	51	120	48	130	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	0	3	2	2	1	1	0	0	0	0	0	
25	13	15	32	14	3	2	2	2	0	0	0	3	
69	22	44	55	16	7	1	1	4	4	6	1	6	
618	318	533	617	163	324	97	143	64	47	113	46	118	
7	2	5	10	2	9	0	2	4	0	1	0	2	
4	3	3	4	0	2	0	0	1	0	0	0	1	
4	0	3	3	0	1	0	0	2	0	0	0	0	
3	0	1	1	0	1	0	0	2	0	0	1	0	
