"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	
480	778	554	839	167	814	1038	339	290	154	787	148	386	357	67	100	493	960	1174	711	504	
450	760	520	770	160	780	1000	320	280	140	730	140	370	370	60	100	440	890	1080	670	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
290	486	279	528	134	385	537	146	137	95	443	88	202	221	32	66	261	539	662	417	274	
34	45	53	26	8	23	31	19	37	4	40	21	49	22	19	11	32	38	55	50	36	
126	229	188	216	18	372	432	155	106	41	247	31	119	127	9	23	147	313	363	203	190	
34	45	53	26	8	23	31	19	37	4	40	21	49	22	19	11	32	38	55	50	36	
290	486	279	528	134	385	536	146	137	95	443	88	202	221	32	66	261	539	662	417	274	
3	13	6	17	1	9	8	2	0	2	5	3	5	3	0	0	5	7	9	14	10	
321	518	326	537	141	399	559	163	174	97	478	106	246	240	51	77	288	570	708	453	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	5	1	3	0	3	3	0	4	1	4	0	4	0	1	0	3	6	7	3	1	
41	106	99	96	17	94	99	43	28	11	88	15	29	31	15	5	48	124	147	123	82	
23	41	19	41	9	36	28	19	9	9	41	7	16	37	2	1	32	38	48	22	29	
251	359	199	382	115	260	417	99	131	76	342	83	195	168	32	71	200	388	497	294	187	
1	2	0	3	0	2	3	2	1	0	1	1	1	0	0	0	2	4	1	5	0	
2	2	4	7	0	3	2	0	1	0	0	0	1	3	1	0	3	4	3	6	0	
0	3	2	3	0	0	2	0	0	0	2	0	0	0	0	0	0	3	3	0	1	
0	0	2	2	0	1	5	0	0	0	0	0	0	1	0	0	0	3	2	0	0	
