"УИК №3901"	"УИК №3902"	"УИК №3903"	"УИК №3904"	"УИК №3905"	"УИК №3906"	"УИК №3907"	"УИК №3908"	"УИК №3909"	"УИК №3910"	"УИК №3911"	"УИК №3912"	"УИК №3913"	"УИК №3914"	"УИК №3915"	"УИК №3916"	"УИК №3917"	"УИК №3918"	"УИК №3919"	
850	327	751	178	744	632	763	567	168	802	248	1376	257	207	168	1337	487	294	392	
900	300	750	160	700	650	800	600	150	800	220	1200	270	210	190	1200	500	300	370	
0	0	20	0	0	0	0	0	0	0	0	0	30	0	0	0	0	25	0	
636	249	498	71	533	402	549	360	89	558	124	876	106	59	84	901	268	86	256	
42	24	91	50	40	82	42	62	33	53	39	124	21	60	40	118	44	77	39	
222	27	141	39	127	166	209	178	28	189	57	200	113	91	66	181	188	112	75	
42	24	111	50	40	82	42	62	33	53	39	124	51	60	40	118	44	102	39	
636	249	498	71	533	402	549	360	89	558	124	876	106	59	84	901	268	86	256	
5	3	9	0	4	7	7	4	0	10	1	11	0	0	0	12	0	7	3	
673	270	600	121	569	477	584	418	122	601	162	989	157	119	124	1007	312	181	292	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	2	5	1	4	1	1	4	1	3	0	3	1	1	0	2	2	1	2	
52	30	48	9	46	43	46	26	10	54	10	73	5	3	1	90	26	7	23	
45	19	36	18	58	42	51	18	9	33	7	64	14	5	2	89	14	9	22	
543	207	496	92	437	381	472	357	101	482	141	809	135	109	119	792	261	162	237	
11	8	2	0	13	4	6	3	0	14	1	15	0	0	0	10	5	0	3	
9	1	3	1	3	1	3	4	1	4	1	8	1	0	2	8	2	1	2	
5	1	3	0	1	2	3	3	0	4	1	7	1	1	0	10	1	0	1	
5	2	7	0	7	3	2	3	0	7	1	10	0	0	0	6	1	1	2	
