"УИК №1285"	"УИК №1286"	"УИК №1287"	"УИК №1288"	"УИК №1289"	"УИК №1290"	"УИК №1291"	"УИК №1292"	"УИК №1293"	"УИК №1294"	"УИК №1295"	"УИК №1296"	"УИК №1297"	"УИК №1298"	"УИК №1299"	"УИК №1300"	"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	"УИК №1326"	"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №1330"	"УИК №1331"	"УИК №1332"	
289	105	118	485	287	326	114	304	512	277	354	106	602	231	2262	2693	2629	2586	2418	499	1460	181	354	142	2746	1243	100	601	389	294	814	971	593	463	476	288	201	183	352	1776	960	1503	679	213	1405	364	1024	901	
318	110	118	484	287	326	115	303	504	271	373	111	621	233	2275	2598	2581	2473	2437	481	1502	180	350	142	2658	1266	102	594	410	317	835	953	543	419	470	309	216	172	362	1803	939	1503	680	201	1450	377	1024	910	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
244	87	85	425	239	292	107	272	462	256	301	81	547	184	1566	1810	1790	2442	1524	459	1346	162	255	141	1755	1147	100	553	365	278	750	897	343	404	404	252	176	154	316	1572	903	1230	621	179	1171	287	740	806	
38	16	29	43	38	28	5	17	34	15	40	19	49	46	167	70	58	15	85	22	84	10	72	0	81	34	0	24	24	16	48	39	5	11	48	29	18	18	21	133	36	64	42	22	60	61	124	77	
36	7	4	16	10	6	3	14	8	0	32	11	25	3	542	718	733	16	828	0	72	8	23	1	822	85	2	17	21	23	37	17	195	4	18	28	22	0	25	98	0	209	17	0	219	29	160	27	
38	16	29	43	38	28	5	17	34	15	40	19	49	46	167	70	58	15	85	22	84	10	72	0	81	34	0	24	24	16	48	39	5	11	48	29	18	18	21	133	36	64	42	22	60	61	124	77	
244	87	85	425	239	292	107	272	462	256	301	81	547	184	1566	1810	1790	2442	1524	459	1346	162	255	141	1754	1147	100	553	365	278	750	897	343	404	404	252	176	154	316	1572	903	1230	621	179	1171	287	740	806	
0	0	0	0	0	1	0	4	0	0	0	1	5	0	23	6	30	26	36	0	0	0	0	0	36	0	0	5	0	2	0	0	3	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	
282	103	114	468	277	319	112	285	496	271	341	99	591	230	1710	1874	1818	2431	1573	481	1430	172	327	141	1799	1181	100	572	389	292	798	936	345	415	452	281	194	172	335	1705	939	1294	663	201	1230	347	864	882	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	1	0	1	2	0	1	2	1	0	0	1	0	4	5	11	3	6	0	2	0	1	0	14	3	0	1	3	0	2	1	1	0	2	0	1	0	0	2	1	98	0	0	103	0	77	1	
16	4	6	58	20	15	4	20	28	13	16	5	7	4	301	99	411	21	199	14	13	7	8	2	360	14	4	8	23	10	15	31	96	10	7	24	11	7	22	5	20	128	11	14	109	30	63	15	
4	0	1	3	0	5	5	0	14	3	4	3	2	1	71	13	77	11	98	3	3	2	3	0	85	9	6	2	7	3	1	4	12	3	4	3	3	10	4	7	14	60	4	0	48	2	35	1	
254	97	103	401	253	289	101	260	447	244	318	89	579	224	1282	1724	1204	2382	1209	462	1401	161	311	135	1252	1134	90	555	354	278	775	893	204	398	432	254	176	154	304	1671	901	950	643	181	925	313	653	855	
3	0	0	2	1	2	1	3	2	5	1	1	1	0	18	15	56	5	28	2	3	2	3	4	41	6	0	2	2	1	2	3	12	2	3	0	2	1	0	3	1	6	3	0	6	1	3	7	
2	0	1	1	1	1	1	1	1	4	0	0	0	0	10	6	19	3	14	0	2	0	0	0	12	4	0	1	0	0	1	1	3	0	2	0	0	0	1	5	0	40	1	2	27	1	20	2	
1	0	1	1	0	2	0	0	2	1	0	0	0	0	15	5	16	2	4	0	3	0	0	0	19	5	0	1	0	0	0	1	11	0	2	0	1	0	1	5	0	6	1	2	6	0	8	1	
1	1	1	2	1	3	0	0	0	0	2	1	1	1	9	7	24	4	15	0	3	0	1	0	16	6	0	2	0	0	2	2	6	2	0	0	0	0	3	7	2	6	0	2	6	0	5	0	
