"УИК №1277"	"УИК №1278"	"УИК №1279"	"УИК №1280"	"УИК №1281"	"УИК №1282"	"УИК №1283"	"УИК №1284"	"УИК №1285"	"УИК №1286"	"УИК №1287"	"УИК №1288"	"УИК №1289"	"УИК №1290"	"УИК №1291"	"УИК №1292"	"УИК №1293"	"УИК №1294"	"УИК №1295"	"УИК №1296"	"УИК №1297"	"УИК №1298"	"УИК №1299"	"УИК №1300"	"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	"УИК №1326"	"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №1330"	"УИК №1331"	"УИК №1332"	"УИК №1333"	"УИК №1334"	"УИК №1335"	"УИК №1336"	"УИК №1337"	"УИК №1338"	"УИК №1339"	"УИК №1340"	"УИК №1341"	"УИК №1342"	"УИК №1343"	"УИК №1344"	"УИК №1345"	"УИК №1346"	"УИК №1347"	"УИК №1348"	"УИК №1349"	"УИК №1350"	"УИК №1351"	"УИК №1352"	"УИК №1353"	"УИК №1354"	
2323	2356	2221	1445	1649	2189	2619	2792	2666	1388	2310	2410	804	1073	1364	2598	1077	1289	788	1606	406	2598	2489	1212	1384	2563	928	1674	1046	159	504	291	361	282	596	624	362	273	705	835	222	1753	365	397	487	323	1145	495	958	672	199	499	241	187	414	370	774	1991	354	257	270	207	1382	711	278	739	715	693	619	724	553	580	339	506	353	577	521	521	
2283	2300	2238	1478	1701	2227	2588	2802	2729	1335	2220	2379	809	1129	1355	2628	1017	1298	822	1552	411	2638	2518	1027	1397	2610	940	1711	1050	167	471	296	372	277	595	588	368	285	731	849	219	1813	370	409	606	337	1190	514	979	701	179	511	264	180	416	374	774	2054	380	259	273	210	1415	722	292	743	714	669	613	759	576	597	339	524	377	599	522	516	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1449	1455	1315	925	1015	1868	1502	1501	1698	1233	1476	1297	400	670	1019	1310	656	626	701	905	254	1587	1263	580	917	1527	478	944	717	120	362	225	302	182	456	513	360	235	552	671	170	1542	240	232	464	312	701	393	489	390	112	419	212	157	193	273	548	1543	303	214	241	169	815	584	221	425	375	368	463	454	332	461	272	396	267	388	392	337	
81	59	83	52	47	132	87	84	40	59	80	138	21	38	81	143	52	39	51	95	50	119	119	204	38	130	89	237	17	10	47	7	3	16	30	25	2	25	83	81	8	78	61	85	23	0	46	35	51	63	48	52	18	15	63	17	109	103	17	6	20	5	45	35	11	73	55	54	75	27	69	19	36	68	23	22	37	23	
753	786	840	501	639	227	999	1217	991	43	664	944	388	421	255	1175	309	633	70	552	107	932	1136	243	442	953	373	530	316	37	62	64	67	79	109	50	6	25	96	97	41	193	69	92	119	25	443	86	439	248	19	40	34	8	160	84	117	408	60	39	12	36	555	103	60	245	284	247	75	278	175	117	31	60	87	189	93	156	
81	59	83	52	47	132	87	84	40	59	80	138	21	38	81	143	52	39	51	95	50	119	119	204	38	130	89	237	17	10	47	7	3	16	30	25	2	25	83	81	8	78	61	85	23	0	46	35	51	63	48	52	18	15	63	17	109	103	17	6	20	5	45	35	11	73	55	54	75	27	69	19	36	68	23	22	37	23	
1449	1455	1315	925	1015	1868	1502	1501	1698	1233	1476	1297	400	669	1019	1310	656	626	701	905	254	1587	1263	580	879	1527	478	944	717	120	362	225	302	182	456	513	360	235	552	671	170	1542	240	232	464	312	701	393	489	390	112	419	212	157	193	273	548	1543	303	214	241	167	815	584	221	425	375	368	463	454	332	461	272	396	267	388	392	337	
17	24	15	11	13	13	34	32	21	8	20	17	2	9	11	21	12	18	9	11	5	33	13	11	7	0	9	21	7	1	8	2	5	2	2	12	6	3	2	4	3	10	5	4	33	0	17	5	7	10	2	4	10	5	5	2	6	18	3	0	0	3	14	10	2	3	1	6	5	1	7	6	0	0	16	6	4	13	
1513	1490	1383	966	1049	1987	1555	1553	1717	1284	1536	1418	419	698	1089	1432	696	647	743	989	299	1673	1369	773	910	1657	558	1160	727	129	401	230	300	196	484	526	356	257	633	748	175	1610	296	313	454	312	730	423	533	443	158	467	220	167	251	288	651	1628	317	220	261	169	846	609	230	495	429	416	533	480	394	474	308	464	274	404	425	347	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	11	6	5	5	7	23	10	10	15	9	10	3	5	7	12	5	2	7	8	3	9	6	3	7	7	4	7	3	5	2	0	3	2	1	4	6	0	0	2	3	2	6	2	1	2	5	3	6	2	1	0	0	2	1	1	4	9	0	1	2	0	4	2	3	2	4	0	4	0	4	1	1	6	1	2	3	1	
185	234	196	117	151	148	228	193	246	248	163	189	32	84	33	128	116	87	46	127	31	206	176	81	115	198	81	174	137	12	91	26	48	34	28	110	7	22	54	55	20	146	64	53	4	29	158	22	102	99	14	96	50	3	26	40	20	178	8	6	8	14	167	93	34	40	47	53	100	78	43	33	25	27	40	52	42	32	
81	92	100	63	69	99	113	114	78	95	103	109	20	38	22	163	42	52	16	80	30	121	106	67	47	131	43	63	25	5	25	18	14	3	39	24	10	10	56	50	7	52	16	11	6	11	66	29	46	31	11	18	15	2	28	17	14	128	4	7	4	9	46	29	13	49	51	42	31	30	14	22	16	27	14	21	12	23	
1170	1079	1021	743	778	1700	1134	1174	1314	832	1210	1052	346	539	1004	1089	508	479	658	745	219	1267	1028	589	720	1313	412	866	526	99	256	181	227	151	409	373	321	216	500	627	139	1400	196	236	431	261	463	353	367	291	130	341	147	153	186	227	600	1209	300	198	243	141	600	465	176	384	315	306	388	366	315	396	258	395	212	320	352	280	
27	29	27	16	16	12	27	22	21	58	24	15	7	18	10	13	7	8	8	14	2	19	20	16	5	1	12	14	14	0	10	2	2	0	2	5	3	6	16	4	3	4	3	2	4	4	12	7	4	10	0	4	2	2	1	0	7	33	1	4	2	1	6	9	1	8	5	6	1	2	6	13	6	1	4	2	1	5	
19	17	18	15	17	4	19	14	16	15	13	19	4	1	6	10	9	7	3	7	7	29	16	6	11	2	5	13	13	6	5	3	3	4	1	9	4	3	5	6	2	3	6	7	6	4	17	3	1	2	2	1	5	4	7	1	4	36	1	1	1	2	17	4	2	10	2	4	3	3	9	5	2	2	3	3	7	1	
6	11	7	2	9	6	3	16	18	14	4	10	3	8	4	10	6	7	3	6	6	13	10	6	3	1	1	19	5	1	8	0	3	2	4	0	2	0	0	3	1	2	3	2	0	0	4	2	6	2	0	0	0	0	1	1	2	20	2	0	1	2	4	2	1	0	4	3	2	0	3	2	0	1	0	3	5	4	
13	17	8	5	4	11	8	10	14	7	10	14	4	5	3	7	3	5	2	2	1	9	7	5	2	4	0	4	4	1	4	0	0	0	0	1	3	0	2	1	0	1	2	0	2	1	5	4	1	6	0	7	1	1	1	1	0	15	1	3	0	0	2	5	0	2	1	2	4	1	0	2	0	5	0	1	3	1	
