"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №534"	"УИК №535"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	
1998	2441	2127	1278	412	1937	1313	275	448	309	292	210	567	56	466	258	279	321	256	187	290	621	142	222	831	91	180	207	143	305	129	490	207	372	237	478	404	425	335	380	
1960	2380	2300	1260	405	1890	1290	275	450	310	285	210	565	60	460	255	275	310	260	185	290	650	145	225	830	85	180	210	140	305	130	495	205	370	240	480	400	410	335	380	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1591	1761	1309	877	379	1150	886	185	296	212	238	156	450	44	250	131	202	267	192	141	249	525	93	119	595	68	147	167	115	240	90	374	172	249	186	362	344	331	240	333	
318	438	350	200	21	488	362	62	107	41	47	46	84	8	191	113	70	43	52	36	31	77	35	91	202	15	28	34	23	59	36	93	25	104	41	91	56	79	71	39	
51	181	641	183	5	252	42	28	47	57	0	8	31	8	19	11	3	0	16	8	10	48	17	15	33	2	5	9	2	6	4	28	8	17	13	27	0	0	24	8	
318	438	350	200	21	488	362	62	107	41	47	46	84	8	191	113	70	43	52	36	31	77	35	91	202	15	28	34	23	59	36	93	25	104	41	91	56	79	71	39	
1591	1761	1309	877	379	1150	886	185	296	212	238	156	450	44	250	131	202	267	192	141	249	525	93	119	595	68	147	167	115	240	90	374	172	249	186	362	344	331	240	333	
47	61	21	17	4	7	20	2	7	0	2	0	2	0	1	1	0	6	0	0	5	3	1	2	9	2	1	4	0	2	0	3	1	2	1	2	3	4	1	0	
1862	2138	1638	1060	396	1631	1228	245	396	253	283	202	532	52	440	243	272	304	244	177	275	599	127	208	788	81	174	197	138	297	126	464	196	351	226	451	397	406	310	372	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	39	12	7	3	17	7	1	1	6	2	0	2	0	0	0	0	1	1	0	0	5	0	3	5	0	4	1	3	1	0	1	4	0	3	5	3	3	6	0	
251	208	173	81	26	118	53	8	16	16	24	13	11	3	22	9	15	13	4	3	6	24	5	23	55	5	12	21	5	10	3	23	7	24	6	21	40	42	16	13	
87	308	142	69	21	90	87	20	37	11	31	14	31	5	19	16	20	13	10	9	18	28	3	10	95	7	21	12	4	38	6	34	20	31	8	22	27	29	16	3	
1482	1460	1257	881	340	1377	1061	213	338	217	219	173	484	42	394	218	236	272	227	165	251	533	117	171	620	67	135	160	126	245	115	399	155	295	207	400	322	320	268	354	
12	36	18	8	2	7	8	2	1	1	1	0	1	1	1	0	0	2	2	0	0	1	2	0	4	2	2	0	0	2	1	1	4	0	1	1	2	4	2	1	
6	34	15	7	1	3	3	0	2	1	3	1	0	0	3	0	0	1	0	0	0	6	0	0	3	0	0	2	0	0	1	3	3	1	0	0	3	6	1	1	
5	32	10	5	1	13	6	1	1	1	1	0	2	0	0	0	1	1	0	0	0	1	0	1	3	0	0	0	0	1	0	1	2	0	0	2	0	1	0	0	
6	21	11	2	2	6	3	0	0	0	2	1	1	1	1	0	0	1	0	0	0	1	0	0	3	0	0	1	0	0	0	2	1	0	1	0	0	1	1	0	
