"УИК №1326"	"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №1330"	"УИК №1331"	"УИК №1332"	"УИК №1333"	"УИК №1334"	"УИК №1335"	"УИК №1336"	"УИК №1337"	"УИК №1338"	"УИК №1339"	"УИК №1340"	"УИК №1341"	"УИК №1342"	"УИК №1343"	"УИК №1344"	"УИК №1345"	"УИК №1346"	"УИК №1347"	"УИК №1348"	"УИК №1349"	"УИК №1350"	"УИК №1351"	"УИК №1352"	"УИК №1353"	"УИК №1354"	"УИК №1355"	"УИК №1356"	"УИК №1357"	"УИК №1358"	"УИК №1359"	"УИК №1360"	"УИК №1361"	"УИК №1362"	"УИК №1363"	"УИК №1364"	"УИК №1365"	"УИК №1366"	"УИК №1367"	"УИК №1368"	"УИК №1369"	"УИК №1370"	"УИК №1371"	"УИК №1372"	"УИК №1373"	"УИК №1374"	"УИК №1375"	"УИК №1376"	"УИК №1377"	"УИК №1378"	"УИК №1379"	"УИК №1380"	"УИК №1381"	"УИК №1382"	"УИК №1383"	"УИК №1384"	"УИК №1385"	"УИК №1386"	"УИК №1387"	"УИК №1388"	"УИК №1389"	"УИК №1390"	"УИК №1391"	
343	331	445	141	388	233	321	420	352	184	439	541	295	553	468	956	908	615	1010	394	1212	1489	377	450	307	616	219	319	188	448	516	361	311	503	345	210	105	1466	819	827	1064	827	302	301	188	181	236	539	1116	212	701	880	1443	219	373	1456	614	705	386	205	212	415	760	319	332	371	
377	335	417	141	366	234	321	420	345	172	409	527	295	553	463	912	829	586	1028	394	1164	1454	377	440	275	581	215	307	179	433	488	357	288	431	322	191	107	1466	819	852	1054	804	290	301	192	171	236	507	1009	205	707	857	1443	205	348	1411	614	675	427	175	208	418	760	319	332	371	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
343	278	278	106	323	164	269	370	247	164	373	365	249	493	397	831	763	506	876	372	291	1235	339	210	239	530	197	229	108	393	270	318	288	352	256	190	75	1404	783	807	932	740	253	270	172	95	205	400	961	164	585	758	1265	171	313	1173	506	589	380	126	184	390	665	284	302	352	
0	1	0	0	2	16	22	0	11	0	0	12	10	6	16	2	2	7	42	1	24	7	1	33	0	15	0	0	0	5	5	1	0	0	41	0	0	10	12	20	26	8	0	0	2	10	0	7	0	0	9	0	8	0	3	30	4	6	6	0	0	0	3	0	2	0	
34	56	139	35	41	54	30	50	87	8	36	150	36	54	50	79	64	73	110	21	849	212	37	197	36	36	18	78	71	35	213	38	0	79	25	1	32	52	24	25	96	56	37	31	18	66	31	100	48	41	113	99	170	34	32	208	104	80	41	49	24	28	92	35	28	19	
0	1	0	0	2	16	22	0	11	0	0	12	10	6	16	2	2	7	42	1	24	7	1	33	0	15	0	0	0	5	5	1	0	0	41	0	0	10	12	20	26	8	0	0	2	10	0	7	0	0	9	0	8	0	3	30	4	6	6	0	0	0	3	0	2	0	
343	278	278	106	323	164	269	370	247	164	373	365	249	493	397	831	763	506	876	372	291	1235	339	210	239	530	197	229	108	393	270	318	288	352	256	190	75	1404	783	807	932	740	253	270	172	95	205	400	961	164	585	758	1265	171	313	1173	506	589	380	126	184	390	662	284	302	352	
0	0	2	0	3	0	2	0	0	0	11	4	0	0	0	0	0	0	4	4	0	0	0	2	5	0	0	0	0	4	0	0	0	4	3	6	0	0	0	0	6	4	0	0	0	0	2	0	5	3	0	2	7	0	2	1	0	0	0	0	0	16	0	0	0	15	
343	279	276	106	322	180	289	370	258	164	362	373	259	499	413	833	765	513	914	369	315	1242	340	241	234	545	197	229	108	394	275	319	288	348	294	184	75	1414	795	827	952	744	253	270	174	105	203	407	956	161	594	756	1266	171	314	1202	510	595	386	126	184	374	665	284	304	337	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
19	12	26	14	5	5	4	3	16	16	5	68	22	26	31	60	47	8	71	3	65	93	20	41	29	13	12	18	6	32	25	26	6	40	34	25	8	19	15	41	83	54	18	5	12	18	16	31	115	23	6	57	77	10	17	80	75	47	10	24	12	27	41	17	22	25	
5	2	2	0	21	2	22	31	4	0	23	0	0	0	3	11	11	31	11	0	0	12	5	0	2	5	3	1	0	4	1	3	0	3	0	0	0	77	11	11	3	0	3	2	4	0	2	0	0	0	27	6	5	3	4	2	0	5	1	2	0	5	10	4	3	3	
312	265	245	89	293	170	263	336	234	148	330	302	235	469	376	758	689	468	832	366	242	1130	306	199	201	527	179	210	102	358	249	290	282	302	257	159	67	1299	759	762	866	680	230	263	158	87	184	376	841	138	559	688	1182	156	286	1118	431	541	375	100	172	340	605	258	277	307	
0	0	0	2	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	
0	0	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	0	1	0	3	0	0	0	4	0	2	0	2	0	3	4	18	0	0	0	1	0	6	0	2	0	3	0	0	0	0	0	0	1	1	0	0	19	10	13	0	6	2	0	0	0	0	0	0	0	2	5	2	2	7	0	0	2	0	0	0	2	9	5	2	2	
