"УИК №2101"	"УИК №2102"	"УИК №2103"	"УИК №2104"	"УИК №2105"	"УИК №2106"	"УИК №2107"	"УИК №2108"	"УИК №2109"	"УИК №2110"	"УИК №2111"	"УИК №2112"	"УИК №2113"	"УИК №2114"	"УИК №2115"	"УИК №2116"	"УИК №2117"	
156	587	494	173	2057	1332	270	456	550	644	310	1529	478	688	193	260	112	
140	600	500	170	2000	1400	250	450	550	500	300	1300	500	700	190	200	100	
27	2	0	0	0	0	4	25	0	28	0	0	0	0	0	0	0	
84	307	213	76	989	667	116	214	239	217	179	876	228	317	88	147	51	
0	31	20	9	43	33	9	30	39	166	10	46	32	52	3	20	8	
29	260	267	85	968	700	121	181	272	89	111	378	240	331	99	33	41	
27	33	20	9	43	33	13	55	39	194	10	46	32	52	3	20	8	
84	307	213	76	988	667	116	214	239	217	179	876	228	317	88	147	51	
2	5	4	0	6	11	1	2	1	9	8	20	5	0	0	1	2	
109	335	229	85	1025	689	128	267	277	402	181	902	255	369	91	166	57	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	0	5	3	1	2	1	0	0	5	1	2	0	1	1	
9	31	31	4	128	77	7	30	13	27	15	64	19	29	9	12	0	
11	43	33	6	97	76	12	43	24	44	11	84	19	30	6	23	2	
89	255	160	75	775	516	108	190	235	319	151	736	212	305	76	125	54	
0	1	3	0	5	4	0	0	1	3	2	1	2	1	0	2	0	
0	5	1	0	14	6	0	0	1	8	1	3	1	1	0	2	0	
0	0	0	0	0	0	0	1	0	1	1	4	0	0	0	1	0	
0	0	0	0	1	7	0	1	2	0	0	5	1	1	0	0	0	
