"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	"УИК №111"	"УИК №112"	"УИК №113"	"УИК №114"	"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	
694	604	508	388	327	720	714	568	688	982	543	496	700	505	477	438	406	661	185	645	577	705	625	
731	633	534	414	342	740	775	589	718	1010	578	503	736	512	483	441	426	705	187	677	599	743	654	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
587	561	439	338	287	607	648	504	581	664	478	409	620	435	402	373	382	571	155	559	500	578	526	
18	14	3	8	8	12	13	11	12	71	15	23	30	10	8	17	10	31	15	12	5	33	20	
126	58	92	68	47	121	114	74	125	275	85	71	86	67	73	51	34	103	17	106	94	132	108	
18	14	3	8	8	12	13	11	12	71	15	23	30	10	8	17	10	31	15	12	5	33	20	
587	561	439	338	287	607	648	504	581	664	478	409	620	435	402	373	382	571	155	559	500	578	526	
1	0	0	0	0	0	0	0	2	8	2	0	0	4	3	2	0	0	0	4	2	0	0	
604	575	442	346	295	619	661	515	591	727	491	432	650	441	407	388	392	602	170	567	503	611	546	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	1	0	0	0	4	0	1	3	0	1	0	0	1	0	0	0	0	0	1	0	0	
18	19	5	11	6	15	21	22	12	82	4	7	15	9	4	3	6	13	3	21	7	10	5	
7	3	3	1	2	5	5	2	1	21	2	2	1	2	2	0	1	1	0	2	4	1	0	
575	548	429	332	286	594	628	488	574	607	480	420	630	427	394	382	382	586	167	540	488	596	540	
1	1	1	0	1	2	1	1	1	6	2	1	1	2	2	1	1	1	0	2	2	1	1	
1	1	2	1	0	1	2	1	1	5	2	1	1	1	3	1	1	1	0	1	1	1	0	
0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	1	0	
0	1	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	
