"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	
1377	1297	1138	1263	1144	2041	
1300	1300	1000	1300	1100	2000	
0	0	0	0	0	0	
955	948	852	995	633	915	
12	9	10	8	466	803	
333	343	138	297	1	282	
12	9	10	8	466	803	
955	948	852	995	632	915	
14	8	9	19	11	25	
953	949	853	984	1087	1693	
0	0	0	0	0	0	
0	0	0	0	0	0	

3	6	1	2	4	4	
208	180	152	207	128	338	
70	74	69	68	104	174	
653	664	600	684	752	1092	
5	8	15	11	73	43	
5	9	6	1	11	6	
4	6	8	3	10	21	
5	2	2	8	5	15	
