"УИК №1841"	"УИК №1842"	"УИК №1843"	"УИК №1844"	"УИК №1845"	"УИК №1846"	"УИК №1847"	"УИК №1848"	"УИК №1849"	"УИК №1850"	"УИК №1851"	"УИК №1852"	"УИК №1853"	"УИК №1854"	"УИК №1855"	"УИК №1856"	"УИК №1857"	"УИК №1858"	"УИК №1859"	"УИК №1860"	"УИК №1861"	"УИК №1862"	"УИК №1863"	"УИК №1864"	"УИК №1865"	"УИК №1866"	"УИК №1867"	"УИК №1868"	"УИК №1869"	"УИК №1870"	
611	1190	1285	733	1303	731	180	216	365	149	197	81	64	254	304	166	302	174	259	241	319	204	267	274	93	118	110	86	260	317	
570	1190	1290	730	1320	730	180	210	390	140	200	70	70	250	290	160	310	180	240	230	310	200	250	290	90	100	110	90	270	320	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
422	811	934	584	943	449	111	165	303	94	162	64	48	123	170	130	198	128	212	198	191	143	179	193	56	83	74	61	169	233	
66	94	106	33	90	162	63	22	45	36	30	5	6	60	74	20	78	29	26	14	75	28	42	47	25	11	23	13	38	48	
82	285	250	113	287	119	6	23	42	10	8	1	16	67	46	10	34	23	2	18	44	29	29	50	9	6	13	16	63	39	
66	94	106	33	90	162	63	22	45	36	30	5	6	60	74	20	78	29	26	14	75	28	42	47	25	11	23	13	38	48	
422	811	934	584	942	449	111	165	303	94	162	64	48	123	170	130	198	128	212	198	191	143	179	193	56	83	74	61	169	233	
0	10	3	0	8	0	2	1	0	0	0	0	0	4	0	1	3	0	0	0	1	1	1	2	0	0	2	0	0	2	
488	895	1037	617	1024	611	172	186	348	130	192	69	54	179	244	149	273	157	238	212	265	170	220	238	81	94	95	74	207	279	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	7	1	4	5	0	0	1	2	0	0	1	2	1	2	2	0	2	2	1	2	1	1	0	0	1	1	3	2	
41	87	90	22	75	33	6	12	22	1	6	7	1	20	18	6	9	5	18	13	19	18	23	9	7	7	7	9	9	5	
35	60	67	24	96	42	10	16	10	6	11	3	2	16	13	11	10	5	10	21	14	8	22	18	9	10	10	5	11	18	
402	712	845	563	823	518	156	156	313	118	173	57	48	134	210	127	246	145	205	170	222	140	167	206	63	73	68	59	182	250	
3	11	9	3	8	6	0	1	1	2	2	1	1	1	1	1	3	0	0	3	2	1	4	2	1	0	6	0	1	0	
1	7	7	2	11	3	0	1	0	1	0	1	0	2	0	0	3	2	0	1	4	0	2	1	0	0	0	0	0	1	
3	10	7	1	4	1	0	0	1	0	0	0	1	1	0	2	0	0	3	2	2	1	0	1	0	4	2	0	0	3	
1	4	5	1	3	3	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	
