"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	
2371	1885	393	1326	703	545	384	368	365	502	235	332	223	449	561	
1920	1650	390	1180	630	470	340	340	300	480	200	300	200	390	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1674	1198	286	912	531	393	274	232	260	367	180	193	118	300	355	
193	66	84	155	59	70	43	61	23	60	16	37	27	64	106	
53	386	20	113	40	7	23	47	17	53	4	70	55	26	39	
193	66	84	155	59	70	43	61	23	60	16	37	27	64	106	
1672	1197	286	912	531	393	274	232	260	367	180	193	118	300	355	
21	15	7	13	3	1	2	0	5	0	0	1	1	2	3	
1844	1248	363	1054	587	462	315	293	278	427	196	229	144	362	458	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	8	3	5	1	11	2	1	0	6	2	2	2	2	0	
216	125	13	98	55	54	11	18	26	22	5	20	6	36	31	
90	69	30	59	34	33	21	21	15	21	11	10	3	20	19	
1474	1013	308	864	484	352	279	246	229	375	174	191	129	299	402	
27	12	5	9	7	2	0	4	4	2	0	2	3	2	5	
13	8	0	4	2	5	1	2	3	0	1	1	0	1	0	
4	7	1	5	0	2	0	1	0	1	1	0	0	1	0	
6	6	3	10	4	3	1	0	1	0	2	3	1	1	1	
