"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №698"	"УИК №699"	
1702	1288	1314	1794	1537	1491	902	1897	1575	1536	1993	1532	1389	1866	2051	1448	1591	1485	1221	2081	1001	1905	2374	686	902	676	1617	488	1086	566	1603	1176	554	535	386	516	715	705	530	165	228	90	1273	1182	1100	622	277	790	204	390	111	258	1047	1047	1031	162	93	522	684	269	130	870	1188	386	535	407	528	410	564	1127	179	176	1821	1242	725	126	350	
1760	1345	1570	1945	1510	1585	860	1910	1570	2210	2010	2400	2320	2050	2050	2140	1850	1620	1920	2160	1100	2200	2350	680	1000	720	1950	465	1350	650	1560	1230	565	535	420	520	920	885	570	165	215	110	1320	1310	1085	610	265	795	200	400	110	260	1200	1200	1230	160	95	530	695	255	130	900	1220	360	500	400	510	430	570	1130	180	165	1850	1230	705	170	350	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
954	759	897	920	865	908	548	1099	891	1257	1567	1215	1241	1007	1400	1093	980	988	878	1084	656	941	1759	274	492	528	1119	339	891	450	1244	894	419	444	267	486	577	531	398	104	195	67	1044	831	919	495	239	694	189	328	104	134	904	825	710	126	67	403	563	214	110	766	1026	311	437	310	432	325	306	1003	156	152	1316	1041	423	126	350	
288	61	77	152	89	167	26	139	274	179	267	184	130	77	120	149	103	92	230	169	96	166	150	87	39	93	326	37	128	70	87	135	119	58	91	13	93	89	106	45	20	19	166	141	126	102	26	67	5	43	2	99	76	88	166	28	26	97	80	39	15	64	151	45	60	70	62	39	160	81	23	13	369	155	34	0	0	
518	525	596	873	556	510	286	672	405	774	176	1001	949	966	530	898	767	540	812	907	348	1093	441	319	469	99	505	89	331	130	229	201	27	33	62	21	250	265	66	16	0	24	110	338	40	13	0	34	6	29	4	27	220	287	354	6	2	30	52	2	5	70	43	4	3	20	16	66	104	46	1	0	165	34	248	44	0	
288	61	77	152	89	167	26	139	274	179	267	184	130	77	120	149	103	92	230	169	96	166	150	87	39	93	326	37	128	70	87	135	119	58	91	13	93	89	106	45	20	19	166	141	126	102	26	67	5	43	2	99	76	88	166	28	26	97	80	39	15	64	151	45	60	70	62	39	160	81	23	13	369	155	34	0	0	
954	759	897	920	865	908	548	1099	891	1255	1567	1215	1241	1007	1400	1093	980	988	878	1084	656	941	1759	274	492	528	1119	339	891	450	1244	894	419	444	267	486	577	531	398	104	195	67	1044	831	919	495	239	694	189	328	104	134	904	825	710	126	67	403	563	214	110	766	1026	311	437	310	432	325	306	1003	156	152	1316	1041	423	126	350	
7	7	12	15	12	17	9	14	15	21	22	21	17	10	11	16	15	11	25	11	8	5	10	6	10	14	12	6	7	5	13	0	4	5	3	0	21	5	3	2	2	0	23	20	23	2	0	3	0	2	0	2	9	3	8	0	0	7	5	4	1	0	21	0	7	4	7	6	7	3	0	0	34	15	0	2	9	
1235	813	962	1057	942	1058	565	1224	1150	1413	1812	1378	1354	1074	1509	1226	1068	1069	1083	1242	744	1102	1899	355	521	607	1433	370	1012	515	1318	1029	534	497	355	499	649	615	501	147	213	86	1187	952	1022	595	265	758	194	369	106	231	971	910	868	154	93	493	638	249	124	830	1156	356	490	376	487	358	459	1081	179	165	1651	1181	457	124	341	
