"УИК №2585"	"УИК №2586"	"УИК №2587"	"УИК №2588"	"УИК №2589"	"УИК №2590"	"УИК №2591"	"УИК №2592"	"УИК №2593"	"УИК №2594"	"УИК №2595"	"УИК №2596"	"УИК №2597"	"УИК №2598"	"УИК №2599"	"УИК №2600"	"УИК №2601"	"УИК №2602"	"УИК №2603"	"УИК №2604"	"УИК №2605"	"УИК №2606"	"УИК №2607"	"УИК №2608"	"УИК №2609"	"УИК №2610"	"УИК №2611"	"УИК №2612"	"УИК №2613"	"УИК №2614"	"УИК №2615"	"УИК №2616"	"УИК №2617"	"УИК №2618"	"УИК №2619"	"УИК №2620"	"УИК №2621"	"УИК №2622"	"УИК №2623"	"УИК №2624"	
1034	1060	523	657	1112	1105	1174	652	1176	330	104	204	400	259	199	179	194	162	825	306	457	123	410	310	367	251	239	84	135	169	197	286	269	277	133	298	324	152	290	102	
1081	1170	545	686	1192	1233	1251	678	1303	341	113	225	459	289	240	209	228	188	946	336	526	128	441	345	415	285	285	94	146	214	212	300	303	314	175	329	378	165	324	125	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
710	813	469	624	776	982	969	614	887	303	89	192	333	217	178	160	186	132	720	239	354	109	313	268	302	242	235	60	75	120	172	270	231	248	113	282	282	122	209	87	
110	61	43	27	68	67	175	28	109	23	11	10	67	39	19	18	7	30	98	64	99	11	93	39	61	7	0	23	58	49	21	13	36	28	18	13	38	28	78	12	
261	296	33	35	348	184	107	36	307	15	13	23	59	33	43	31	35	26	128	33	73	8	35	38	52	36	50	11	13	45	19	17	36	38	44	34	58	15	37	26	
108	61	43	27	68	67	175	28	107	23	11	10	67	39	19	18	7	30	98	64	99	11	93	39	61	7	0	23	58	49	21	13	36	28	18	13	38	28	78	12	
710	810	469	624	775	977	969	614	887	303	89	192	333	217	178	160	186	132	719	239	354	109	313	268	302	242	235	60	75	120	172	270	231	248	113	282	282	122	209	87	
15	12	1	0	5	12	6	0	6	0	0	0	0	0	0	0	1	0	0	0	1	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
803	859	511	651	838	1032	1138	642	988	326	100	202	400	256	197	178	192	162	817	303	452	120	406	301	363	247	235	83	133	169	193	283	267	276	131	295	320	150	287	99	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	6	1	1	5	7	1	0	3	0	1	1	1	0	0	1	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	1	
92	97	19	21	114	120	45	30	86	4	2	6	5	3	2	2	3	1	4	7	3	1	4	3	0	29	2	0	1	4	4	4	4	2	7	4	5	3	4	2	
48	48	5	8	47	64	18	6	56	2	2	2	2	3	2	3	1	1	2	2	2	2	6	5	3	3	3	1	1	1	4	4	3	3	1	3	4	3	4	1	
635	681	482	616	656	808	1065	602	817	319	93	189	390	248	192	171	186	160	808	294	446	115	392	290	359	211	228	82	131	164	185	270	256	270	122	285	306	143	277	95	
8	16	1	2	11	13	3	4	15	1	2	2	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	1	1	0	1	1	0	0	0	
6	3	1	1	3	9	2	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	1	1	1	1	2	0	
4	3	1	1	1	7	2	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	
2	5	1	1	1	4	2	0	4	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	1	2	0	0	0	0	0	2	1	0	0	0	1	0	0	0	
