"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №797"	"УИК №798"	"УИК №799"	"УИК №800"	
431	418	170	601	1540	1516	1252	1518	1398	845	1084	692	610	974	1143	203	575	241	184	310	481	164	132	68	117	803	785	188	556	1029	1092	529	
420	430	170	580	1570	1430	1280	1510	1410	830	990	690	630	1000	1150	200	610	240	190	300	470	160	130	60	110	830	830	200	560	1030	1100	530	
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	
253	203	81	345	939	794	659	906	800	391	625	343	366	591	595	145	289	164	138	206	324	86	87	39	69	453	292	149	341	578	621	298	
0	7	6	5	22	30	36	68	23	21	10	1	13	5	8	6	16	6	2	2	7	3	3	2	2	26	58	5	2	8	16	2	
147	220	83	230	609	606	585	536	587	418	355	346	251	404	547	49	216	70	50	92	139	71	40	19	39	351	410	46	217	444	463	230	
20	7	6	5	22	30	36	68	23	21	10	1	13	5	8	6	105	6	2	2	7	3	3	2	2	26	128	5	2	8	16	2	
253	203	81	345	939	794	659	906	798	391	625	343	366	591	595	145	289	164	138	206	324	86	87	39	69	451	292	149	341	577	621	297	
1	1	1	2	10	15	8	17	18	10	11	7	6	13	15	0	9	1	3	4	11	1	4	1	0	12	2	1	6	8	3	3	
272	209	86	348	951	809	687	957	803	402	624	337	373	583	588	151	385	169	137	204	320	88	86	40	71	465	418	153	337	577	634	296	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	4	0	1	6	5	4	3	5	4	2	1	0	6	6	0	3	0	1	2	2	0	0	0	0	5	1	1	2	1	9	0	
24	42	10	77	173	158	145	213	159	94	180	76	66	126	108	5	56	29	15	20	56	7	22	2	5	18	4	13	92	107	134	56	
40	40	20	40	116	93	95	136	103	64	83	55	48	84	84	24	84	15	12	19	39	13	4	8	7	52	44	9	45	65	76	31	
202	117	55	219	627	529	424	579	517	226	343	198	248	349	380	120	234	122	101	159	210	67	58	29	56	374	358	126	193	396	405	201	
1	1	0	4	8	9	3	9	5	3	6	3	1	5	4	0	3	0	2	2	8	1	2	0	0	5	3	4	0	2	3	1	
3	1	1	1	7	6	6	6	7	3	4	2	7	2	1	1	2	2	1	1	5	0	0	1	2	5	3	0	2	0	2	2	
0	3	0	4	9	3	8	5	5	5	3	2	3	6	1	1	2	1	3	0	0	0	0	0	1	6	4	0	1	5	3	3	
1	1	0	2	5	6	2	6	2	3	3	0	0	5	4	0	1	0	2	1	0	0	0	0	0	0	1	0	2	1	2	2	
