"УИК №1840"	"УИК №1841"	"УИК №1842"	"УИК №1843"	"УИК №1844"	"УИК №1845"	"УИК №1846"	"УИК №1847"	"УИК №1848"	"УИК №1849"	"УИК №1850"	"УИК №1851"	"УИК №1852"	"УИК №1853"	"УИК №1854"	"УИК №1855"	"УИК №1856"	"УИК №1857"	"УИК №1858"	"УИК №1859"	"УИК №1860"	"УИК №1861"	"УИК №1862"	"УИК №3728"	"УИК №3729"	"УИК №3730"	"УИК №3731"	
2920	3072	1749	2094	2032	1922	1947	2267	2755	2917	1704	265	1983	1780	1355	1162	2027	1671	2151	1984	1614	2506	2431	121	601	274	515	
2250	2400	1350	1750	1550	1550	1500	1800	2150	2150	1350	300	1600	1400	1050	900	1600	1300	1750	1600	1250	2050	2000	200	700	350	750	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1874	1885	960	1190	1131	1155	1141	1279	1594	1630	921	261	1090	1038	692	691	1155	978	1290	1076	968	1421	1286	120	410	181	462	
23	25	59	56	57	32	69	80	36	69	70	4	63	76	75	36	68	70	105	62	34	47	76	0	191	85	53	
353	490	331	504	362	363	290	441	520	451	359	35	447	286	283	173	377	252	355	462	248	582	638	80	99	84	235	
23	25	59	56	57	32	69	80	36	69	70	4	63	76	75	36	68	70	105	62	34	47	76	0	191	85	53	
1867	1883	958	1187	1130	1152	1138	1278	1591	1626	920	261	1089	1036	691	691	1152	978	1287	1072	952	1420	1284	120	410	181	451	
16	41	22	15	12	23	18	12	31	16	15	18	17	23	14	13	23	9	12	19	13	19	21	1	8	0	3	
1874	1867	995	1228	1175	1161	1189	1346	1596	1679	975	247	1135	1089	752	714	1197	1039	1380	1115	973	1448	1339	119	593	266	501	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	15	10	13	10	10	14	17	21	15	10	8	11	9	11	7	12	19	11	13	6	18	11	1	3	3	4	
235	278	140	160	177	143	153	210	220	183	161	14	133	111	94	109	162	154	193	149	99	157	160	11	63	21	55	
174	101	44	66	47	51	62	66	80	102	55	20	60	61	33	42	51	33	54	78	44	66	85	10	46	17	32	
1283	1299	705	860	805	840	838	905	1084	1241	645	196	792	811	533	492	854	702	989	781	710	1103	967	88	437	202	380	
75	76	48	44	69	46	46	63	77	72	45	3	45	42	36	25	57	65	54	40	48	47	49	2	18	10	12	
6	11	9	15	9	8	9	10	13	13	6	2	10	12	6	4	5	10	7	10	5	10	13	1	7	3	3	
32	30	16	22	30	28	26	25	32	33	21	2	34	10	14	8	15	18	26	12	12	11	13	5	7	3	5	
57	57	23	48	28	35	41	50	69	20	32	2	50	33	25	27	41	38	46	32	49	36	41	1	12	7	10	
