"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	
178	153	331	98	179	359	263	991	200	514	111	183	372	534	658	1023	128	474	314	359	172	132	233	308	137	1003	254	112	84	149	308	323	460	149	197	357	126	254	865	198	326	559	1182	661	807	843	1578	1817	1789	1772	1815	1624	764	667	254	
178	155	347	97	192	386	299	1055	194	523	108	176	377	541	689	1027	140	489	332	369	182	129	242	329	145	1001	290	118	92	152	340	348	523	157	213	369	130	265	916	201	331	573	1180	635	808	792	1555	1770	1670	1725	1733	1598	752	655	274	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
163	140	293	88	163	323	236	799	177	449	94	152	339	511	594	798	114	420	281	323	152	115	209	277	117	782	223	100	68	133	273	282	404	131	172	306	115	226	748	175	290	494	1022	582	705	686	1427	1414	1568	1372	1417	1467	686	551	227	
7	6	18	5	9	19	13	89	11	28	11	21	18	0	37	92	9	25	20	20	10	10	12	18	11	90	13	7	8	8	21	25	27	9	16	34	4	14	61	10	18	37	74	38	40	96	36	74	77	86	92	30	31	43	8	
8	9	36	4	20	44	50	167	6	46	3	3	20	30	58	137	17	44	31	26	20	4	21	34	17	129	54	11	16	11	46	41	92	17	25	29	11	25	107	16	23	42	84	15	63	10	92	282	25	267	224	101	35	61	39	
7	6	18	5	9	19	13	89	11	28	11	21	18	0	37	92	9	25	20	20	10	10	12	18	11	90	13	7	8	8	21	25	27	9	16	34	4	14	61	10	18	37	74	38	40	96	36	74	77	86	92	30	31	43	8	
163	140	293	88	163	323	236	799	177	449	94	152	339	511	594	798	114	420	281	323	152	115	209	277	117	782	223	100	68	133	273	282	404	131	172	306	115	226	748	175	290	494	1022	582	705	686	1427	1409	1568	1372	1417	1467	686	551	227	
0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	
170	146	311	93	172	342	249	884	188	477	105	173	357	511	627	890	123	445	301	343	162	125	221	295	128	872	236	107	75	141	294	307	431	140	188	340	119	240	809	185	308	531	1096	620	745	782	1463	1483	1640	1458	1509	1497	717	593	235	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	1	1	0	1	2	1	2	1	1	0	1	0	2	2	3	0	1	1	1	0	1	1	1	0	5	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2	4	3	2	6	4	3	4	12	5	4	3	2	
1	2	6	2	3	7	4	12	5	12	2	3	5	14	14	19	1	10	8	4	2	6	8	6	2	31	4	2	2	2	10	7	1	3	4	1	3	6	19	4	8	16	22	12	1	14	41	36	58	32	46	37	9	16	3	
8	2	5	2	4	6	5	12	3	12	3	2	11	12	19	22	5	8	5	12	2	1	5	9	2	21	6	2	0	3	6	6	18	4	4	7	2	7	22	2	6	10	31	16	34	16	46	40	45	36	52	35	8	10	3	
160	137	295	89	161	324	233	855	175	450	98	163	339	475	586	837	116	420	282	322	157	116	203	275	123	810	219	100	72	133	271	285	404	130	175	325	111	222	756	174	287	496	1033	577	699	739	1353	1383	1516	1367	1370	1397	675	547	219	
0	1	1	0	1	1	2	1	1	0	0	1	0	2	3	2	1	2	1	2	0	0	1	1	0	2	2	1	0	1	1	2	1	0	1	2	0	2	3	1	2	2	4	2	3	3	4	6	4	5	7	6	6	5	2	
0	1	1	0	0	2	1	2	1	0	1	1	2	2	2	3	0	1	1	1	0	0	1	1	1	0	1	1	0	1	2	1	2	1	1	1	1	1	2	1	1	1	2	3	4	2	6	5	11	3	8	6	6	5	2	
0	1	1	0	1	0	2	0	1	2	0	1	0	2	0	2	0	1	1	1	0	0	1	1	0	2	2	0	0	0	2	2	2	0	1	2	0	1	3	1	2	2	1	4	0	3	4	5	1	5	8	7	5	4	2	
0	1	1	0	1	0	1	0	1	0	1	1	0	2	1	2	0	2	2	0	1	1	1	1	0	1	1	0	0	0	1	2	2	1	1	1	1	0	2	1	1	2	1	2	1	3	3	4	2	6	6	4	4	3	2	
