"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	
614	586	631	290	120	95	367	168	261	284	484	456	236	424	355	383	354	386	
612	616	658	308	115	94	384	178	266	290	494	473	255	433	354	396	360	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
393	376	410	160	92	64	244	128	185	196	290	284	135	243	172	215	203	223	
41	10	19	12	4	8	15	9	9	14	21	27	32	34	36	22	17	7	
178	230	229	136	19	22	125	41	72	80	183	162	88	156	146	159	140	170	
41	10	19	12	4	8	15	9	9	14	21	27	32	34	36	22	17	7	
393	376	410	160	92	64	244	128	185	196	290	284	135	243	172	215	203	223	
7	6	6	3	1	0	2	2	1	0	2	7	0	2	3	0	4	2	
427	380	423	169	95	72	257	135	193	210	309	304	167	275	205	237	216	228	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	2	0	0	2	1	0	1	0	0	1	1	0	1	1	0	0	
106	77	102	43	7	12	71	42	11	41	80	61	22	108	78	100	74	79	
37	38	29	13	3	2	20	8	10	16	31	23	15	16	21	24	10	10	
277	258	284	111	83	55	159	85	165	152	195	217	126	143	101	106	131	139	
4	1	6	0	0	0	5	0	2	1	2	0	2	0	2	0	0	0	
2	0	0	0	2	0	1	0	0	0	0	1	1	2	0	5	0	0	
0	2	0	1	0	0	0	0	4	0	1	1	0	6	2	0	0	0	
0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	
