"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	
843	1808	419	1076	913	1034	582	165	678	324	89	
821	1550	400	1052	894	1000	726	152	650	322	87	
0	227	0	0	0	0	0	0	0	0	0	
521	1018	242	589	524	496	487	120	521	216	51	
1	30	2	12	5	2	4	4	10	30	16	
299	275	156	451	365	502	235	28	119	76	20	
1	257	2	12	5	2	4	4	10	30	16	
521	1018	242	589	524	496	487	120	521	216	51	
6	20	5	14	5	9	5	1	6	2	0	
516	1255	239	587	524	489	486	123	525	244	67	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

4	2	0	6	2	4	2	0	0	1	0	
84	198	25	104	88	76	66	23	85	6	3	
39	112	23	44	37	60	64	26	48	26	13	
378	903	186	428	390	346	337	72	379	210	50	
2	17	2	4	2	1	11	1	3	0	1	
4	6	2	0	2	1	2	1	5	1	0	
2	5	0	1	3	1	0	0	1	0	0	
3	12	1	0	0	0	4	0	4	0	0	
