"УИК №632"	"УИК №633"	"УИК №657"	"УИК №1175"	"УИК №1176"	"УИК №1177"	"УИК №1178"	"УИК №1179"	"УИК №1180"	"УИК №1183"	"УИК №1184"	"УИК №1185"	"УИК №1186"	"УИК №1187"	"УИК №1188"	"УИК №1189"	"УИК №1190"	"УИК №1191"	"УИК №1192"	"УИК №1193"	"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	"УИК №1198"	"УИК №1199"	"УИК №1200"	"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	"УИК №1218"	"УИК №1219"	"УИК №1220"	"УИК №1221"	"УИК №1222"	"УИК №1223"	"УИК №1224"	"УИК №1225"	"УИК №1226"	"УИК №1237"	"УИК №1238"	"УИК №1239"	"УИК №1240"	"УИК №1241"	"УИК №1242"	"УИК №1243"	"УИК №3574"	"УИК №3575"	"УИК №3582"	"УИК №3803"	"УИК №3804"	"УИК №3805"	"УИК №3806"	"УИК №3807"	"УИК №3808"	"УИК №3809"	"УИК №3810"	"УИК №3811"	"УИК №3812"	"УИК №3813"	"УИК №3814"	"УИК №3816"	"УИК №3817"	"УИК №3818"	"УИК №3819"	"УИК №3820"	"УИК №3821"	"УИК №4240"	
810	81	724	1558	1083	1555	1315	1638	1295	1279	1176	1450	1070	1670	1208	1086	1086	1052	1091	1201	1110	1293	1632	1456	1200	953	962	1662	1688	1736	1524	2059	1459	1484	1923	1728	1910	1463	1500	1366	1274	1224	2216	1942	1436	1421	1750	1885	603	1436	1204	1381	1353	1082	1768	1468	1884	1862	1421	1391	2031	1715	1684	1263	1161	1050	828	1178	1886	1024	1466	1569	1022	2312	1180	3474	1640	1779	2121	1653	1990	408	
1200	155	580	1400	1250	1250	1250	1400	1200	1250	1150	1500	1250	1650	1300	1250	1150	1150	1200	1200	1050	1200	1250	1300	1300	1000	1000	1450	1550	1500	1250	1750	1450	1300	1450	1350	1750	1200	1450	1300	1250	1200	1900	1600	1250	1200	1500	1600	600	1250	1250	1050	1200	1000	1650	1300	1500	1600	1250	1050	1450	1300	1500	1250	1050	1100	800	1300	1550	1000	1570	1200	900	1700	1200	2900	1100	1250	2350	1150	1450	600	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
648	46	402	1067	854	856	911	958	879	884	765	955	772	1113	893	826	772	726	824	724	583	826	1004	842	1001	659	726	944	1049	923	914	1228	965	863	1235	955	1125	877	921	743	735	826	1358	1423	830	878	1147	1124	357	875	874	818	842	862	1422	919	1102	1321	851	833	1235	1066	1178	837	762	705	558	823	964	769	1061	941	580	1456	773	2290	826	1100	2117	959	1232	291	
129	35	10	15	36	215	15	12	30	14	12	35	133	83	36	46	65	90	45	37	31	25	23	20	26	29	28	45	34	18	35	34	30	33	4	15	5	13	16	9	14	100	8	6	17	15	27	18	5	31	26	28	11	9	39	28	12	12	18	21	1	1	6	25	33	98	9	14	41	31	1	5	10	4	31	86	4	6	4	11	2	117	
423	74	168	318	360	179	324	430	291	352	373	510	345	454	371	378	313	334	331	439	436	349	223	438	273	312	246	461	467	559	301	488	455	404	211	380	620	310	513	548	501	274	534	171	403	307	326	458	238	344	350	204	347	129	189	353	386	267	381	196	214	233	316	388	255	297	233	463	545	200	508	254	310	240	396	524	270	144	229	180	216	192	
129	35	10	15	36	215	15	12	30	14	12	35	133	83	36	46	65	90	45	37	31	25	23	20	26	29	28	45	34	18	35	34	30	33	4	15	5	13	16	9	14	100	8	6	17	15	27	18	5	31	26	28	11	9	39	28	12	12	18	21	1	1	6	25	33	98	9	14	41	31	1	5	10	4	31	86	4	6	4	11	2	117	
648	46	401	1067	854	856	911	958	878	883	763	955	772	1113	893	826	772	726	779	723	581	826	1004	842	1001	659	726	944	1048	918	914	1228	965	863	1235	954	1125	876	921	743	735	826	1358	1418	830	878	1147	1124	357	874	874	818	842	862	1422	919	1102	1312	851	833	1233	1066	1178	836	760	705	558	823	963	769	1060	940	580	1455	773	2287	826	1100	2117	959	1232	291	
18	1	2	29	10	11	13	5	15	14	7	11	10	18	15	10	25	11	7	11	6	4	17	12	15	7	7	12	17	22	8	15	16	14	31	28	9	16	8	8	13	11	20	17	14	17	17	40	4	8	16	18	14	10	20	6	14	18	15	20	17	16	13	4	8	8	5	4	11	8	21	7	7	16	13	32	8	15	32	8	20	0	
759	80	409	1053	880	1060	913	965	893	883	768	979	895	1178	914	862	812	805	817	749	606	847	1010	850	1012	681	747	977	1065	914	941	1247	979	882	1208	941	1121	873	929	744	736	915	1346	1407	833	876	1157	1102	358	897	884	828	839	861	1441	941	1100	1306	854	834	1217	1051	1171	857	785	795	562	833	993	792	1040	938	583	1443	791	2341	822	1091	2089	962	1214	408	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	3	7	8	4	12	6	5	9	5	7	10	4	5	6	9	9	5	10	7	7	12	7	12	7	3	16	19	8	7	13	8	9	11	9	4	9	12	8	4	15	11	4	12	5	12	4	3	9	9	3	6	3	7	7	3	8	7	9	2	3	3	13	6	6	2	9	8	17	8	3	5	13	7	19	1	6	5	6	9	0	
86	3	57	118	104	138	130	147	120	131	98	125	94	125	87	98	94	85	89	100	69	109	145	108	106	82	89	118	129	106	139	142	100	113	150	118	149	113	122	96	90	116	183	172	73	101	145	157	61	127	114	133	102	101	149	130	123	175	84	117	168	149	188	106	96	66	72	110	160	93	161	117	90	161	107	337	120	132	309	142	172	32	
45	3	9	75	40	63	44	48	36	63	33	45	40	62	63	45	37	40	49	42	42	54	46	33	73	33	42	54	53	46	61	63	74	60	38	52	77	49	36	42	37	56	40	31	60	46	62	60	25	36	44	49	50	27	68	45	66	47	43	54	51	35	53	44	38	37	37	49	49	54	29	25	27	86	32	94	19	42	58	33	61	12	
