"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	
1660	144	941	516	2537	1011	1980	1494	1640	1474	192	1439	740	1288	163	380	935	910	574	
1650	120	950	500	2550	1000	1950	1550	1550	1450	180	1430	850	1250	150	330	950	900	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
709	58	394	220	1257	408	1103	686	1166	752	70	757	461	641	80	178	406	381	280	
66	8	28	22	22	23	21	62	0	37	12	33	8	21	4	17	9	37	27	
875	54	528	258	1271	569	826	802	384	661	98	640	381	588	66	135	535	482	243	
66	8	28	22	22	23	21	62	0	37	12	33	8	21	4	17	9	37	27	
709	58	394	220	1257	408	1103	686	1165	752	70	757	461	641	80	178	406	381	279	
15	1	7	4	30	3	19	15	26	10	0	14	3	5	0	3	5	2	4	
760	65	415	238	1249	428	1105	733	1139	779	82	776	466	657	84	192	410	416	302	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

12	0	4	1	5	6	10	5	10	2	0	6	5	6	0	3	3	7	1	
86	6	38	15	174	50	115	69	85	93	9	78	40	70	6	24	27	28	36	
70	6	47	37	78	39	125	69	118	68	10	53	49	47	6	9	41	36	29	
571	50	315	179	914	318	807	559	871	564	62	593	345	511	67	151	315	338	231	
5	1	2	1	36	12	17	16	30	20	1	16	7	16	2	4	12	4	3	
3	1	3	2	8	1	10	1	4	5	0	3	2	1	1	0	6	0	0	
4	1	2	2	10	1	11	9	7	9	0	10	7	2	1	0	3	3	2	
9	0	4	1	24	1	10	5	14	18	0	17	11	4	1	1	3	0	0	
