"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №262"	"УИК №263"	"УИК №265"	
1713	2106	1908	1508	2033	1854	2148	1978	2432	1433	2273	2206	942	2240	2557	2268	1160	2500	1691	2126	1696	2462	1401	2336	1690	1710	2364	1909	3053	1961	1278	2055	1175	1980	2108	1838	2511	1165	2065	1092	2728	2896	2875	2650	504	1210	786	2684	1923	1696	2462	1977	2865	1269	2468	1054	2465	1892	2390	1935	2439	1558	1354	
1500	2000	1500	1000	2000	1500	2000	2000	2000	1000	2000	2000	900	2000	2000	2000	1000	2000	1500	2000	1500	2000	1000	2000	1500	1500	2000	2000	3000	1500	1000	2000	1000	2000	2000	1500	2000	1000	2000	1000	2500	2500	2500	2000	500	1000	600	2500	2000	1500	2000	2000	2500	1000	2000	1000	2000	1500	2000	2000	2000	1500	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
935	1005	987	872	1109	963	1198	1089	1358	874	1141	1159	488	1342	1401	1140	713	1557	1018	1301	891	1304	807	1366	929	1048	1376	1059	1886	1179	752	1189	425	1624	1318	962	1527	591	1197	652	1732	1914	1803	1649	308	617	455	1598	1029	988	1293	1178	1557	591	1369	557	1231	1178	1451	1159	1231	788	830	
24	336	25	37	24	31	40	25	24	18	39	26	9	52	45	37	10	31	34	22	25	54	17	50	15	21	35	30	39	30	30	36	380	41	36	110	32	21	28	18	22	38	22	33	14	28	22	61	45	25	42	22	42	44	22	14	61	23	39	29	52	184	10	
541	659	488	91	867	506	762	886	618	108	820	815	403	606	554	823	277	412	448	677	584	642	176	584	556	431	589	911	1075	291	218	775	195	335	646	428	441	388	775	330	746	548	675	318	178	355	123	841	926	487	665	800	901	365	609	429	708	299	510	812	717	528	160	
24	336	25	37	24	31	40	25	24	18	38	26	9	52	45	37	10	31	34	22	25	54	17	50	15	21	35	30	39	30	30	36	380	41	36	110	32	21	28	18	22	38	22	33	14	28	22	61	45	25	42	22	42	44	22	14	61	23	39	29	52	184	10	
935	1005	987	870	1109	962	1198	1089	1358	874	1140	1159	488	1336	1401	1140	713	1557	1018	1301	891	1304	806	1366	928	1047	1376	1059	1886	1179	752	1189	424	1624	1318	960	1527	591	1197	652	1732	1913	1803	1648	308	617	455	1598	1029	987	1293	1177	1556	590	1368	557	1231	1178	1451	1158	1230	787	830	
10	15	12	7	6	4	9	17	19	2	12	13	6	13	14	6	9	15	12	12	9	9	4	9	8	10	14	15	12	15	5	9	2	11	6	17	15	7	14	8	18	18	9	20	3	7	1	18	8	15	12	11	16	5	15	10	13	11	10	13	13	8	5	
949	1326	1000	900	1127	989	1229	1097	1363	890	1166	1172	491	1375	1432	1171	714	1573	1040	1311	907	1349	819	1407	935	1058	1397	1074	1913	1194	777	1216	802	1654	1348	1053	1544	605	1211	662	1736	1933	1816	1661	319	638	476	1641	1066	997	1323	1188	1582	629	1375	561	1279	1190	1480	1174	1269	963	835	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
