"УИК №1191"	"УИК №1192"	"УИК №1193"	"УИК №1194"	"УИК №1195"	"УИК №1196"	"УИК №1197"	"УИК №1198"	"УИК №1199"	"УИК №1200"	"УИК №1201"	"УИК №1202"	"УИК №1203"	"УИК №1204"	"УИК №1205"	"УИК №1206"	"УИК №1207"	"УИК №1208"	"УИК №1209"	"УИК №1210"	"УИК №1211"	"УИК №1212"	"УИК №1213"	"УИК №1214"	"УИК №1215"	"УИК №1216"	"УИК №1217"	
594	561	567	599	1209	1486	558	470	145	257	235	411	281	799	386	616	375	531	1076	816	196	854	253	762	398	124	527	
600	550	550	600	1100	1500	550	450	150	250	200	400	250	750	350	600	350	500	1050	750	170	800	200	750	350	120	500	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
276	292	313	351	616	858	319	238	77	148	126	258	231	512	254	444	267	340	798	381	140	423	165	467	307	98	311	
65	44	24	21	93	61	22	27	14	19	4	22	13	86	29	49	27	23	32	26	30	113	33	83	29	5	80	
259	214	213	228	391	581	209	185	59	83	70	120	6	152	67	107	56	137	220	343	0	264	2	200	14	17	109	
65	44	24	21	93	61	22	27	14	19	4	22	13	86	29	49	27	23	32	26	30	113	33	83	29	5	80	
276	292	313	351	616	858	319	238	77	148	126	258	231	512	254	444	267	340	798	381	140	423	165	467	307	98	311	
4	4	3	4	4	9	2	4	0	0	1	2	0	2	1	13	4	4	14	4	3	4	1	7	9	3	2	
337	332	334	368	705	910	339	261	91	167	129	278	244	596	282	480	290	359	816	403	167	532	197	543	327	100	389	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	2	0	0	3	8	1	4	0	0	0	0	1	2	2	4	2	1	3	6	2	3	2	3	3	0	3	
43	48	58	57	117	152	37	38	12	19	16	45	18	82	32	96	36	46	70	66	11	38	22	37	24	12	43	
34	13	26	36	55	75	33	21	22	24	8	14	19	69	36	41	34	49	67	31	17	37	12	37	24	8	45	
248	257	243	264	516	649	259	188	54	122	104	214	200	433	208	329	211	255	655	287	133	446	159	459	272	76	289	
4	4	4	4	8	13	1	3	2	1	1	1	1	1	0	4	3	5	11	5	3	2	0	1	1	2	3	
5	3	2	6	1	6	6	2	1	0	0	2	4	6	1	4	3	0	4	1	1	5	2	3	1	1	3	
1	5	1	0	3	6	1	4	0	0	0	2	0	1	2	2	1	2	2	3	0	0	0	2	2	1	1	
1	0	0	1	2	1	1	1	0	1	0	0	1	2	1	0	0	1	4	4	0	1	0	1	0	0	2	
