"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	
1204	1031	2238	1990	1868	2890	2227	2286	2382	2081	2184	2127	2392	2866	2612	2356	1847	2461	
1100	1000	2000	1900	1800	2700	2200	2200	2300	2000	2000	2000	2300	2800	2500	2300	1800	2300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
551	563	1319	1148	974	1697	1413	1350	1439	986	1184	1077	1439	1642	1605	1408	1135	1495	
120	28	50	45	29	117	54	60	48	32	47	37	29	61	27	72	34	45	
429	409	631	707	797	886	733	790	813	982	769	886	832	1097	868	820	631	760	
120	28	50	45	29	117	54	60	48	32	47	37	29	61	27	72	34	45	
551	563	1319	1148	974	1696	1413	1350	1439	986	1184	1077	1439	1641	1604	1408	1135	1495	
4	5	14	11	5	23	14	18	20	14	16	8	9	18	13	19	8	10	
667	586	1355	1182	998	1790	1453	1392	1467	1004	1215	1106	1459	1684	1618	1461	1161	1530	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	3	11	13	7	22	11	15	7	4	7	11	10	15	19	10	21	18	
70	57	202	134	110	240	179	170	186	120	136	132	199	204	217	194	156	238	
67	52	118	111	117	172	135	139	156	126	107	114	158	143	134	126	109	135	
494	447	959	863	714	1278	1048	1002	1032	711	917	810	1035	1243	1175	1071	819	1070	
11	7	25	24	20	28	32	18	26	11	14	17	23	33	28	20	23	29	
6	4	11	17	8	19	17	21	15	10	5	7	9	15	14	14	5	10	
5	6	15	9	9	16	14	16	29	11	17	7	13	17	18	10	16	15	
6	10	14	11	13	15	17	11	16	11	12	8	12	14	13	16	12	15	
