"УИК №1066"	"УИК №1067"	"УИК №1068"	"УИК №1069"	"УИК №1070"	"УИК №1071"	"УИК №1072"	"УИК №1073"	"УИК №1074"	"УИК №1075"	"УИК №1076"	"УИК №1077"	"УИК №1078"	"УИК №1079"	"УИК №1080"	"УИК №1081"	"УИК №1082"	"УИК №1083"	"УИК №1084"	"УИК №1085"	"УИК №1086"	"УИК №1087"	"УИК №1088"	"УИК №1089"	"УИК №1090"	"УИК №1091"	"УИК №1092"	"УИК №1093"	"УИК №1094"	"УИК №1095"	
146	122	458	577	475	601	563	826	456	1117	710	376	407	604	517	546	497	918	1382	368	437	665	372	396	534	755	463	211	324	320	
125	120	425	530	415	530	530	765	335	1010	655	360	380	560	470	500	450	830	1270	330	370	600	345	360	485	700	425	180	290	285	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
81	56	188	248	129	287	128	488	296	469	290	117	199	313	300	269	226	312	709	134	152	163	125	142	229	297	208	90	119	151	
12	11	64	134	47	44	77	20	4	140	65	28	61	57	23	51	40	191	65	60	92	96	43	77	73	62	24	38	80	34	
32	53	173	148	239	199	325	257	35	401	300	215	120	190	147	180	184	327	496	136	126	341	177	141	183	341	193	52	91	100	
12	11	64	134	47	44	77	20	4	140	65	28	61	57	23	51	40	191	65	60	92	96	43	77	73	62	24	38	80	34	
81	56	188	248	129	287	128	488	296	469	290	117	199	313	300	269	226	312	709	134	152	163	125	142	229	297	208	90	119	151	
0	0	0	2	2	3	4	5	0	2	4	1	0	0	0	1	1	6	14	0	1	2	0	1	0	3	0	0	0	1	
93	67	252	380	174	328	201	503	300	607	351	144	260	370	323	319	265	497	760	194	243	257	168	218	302	356	232	128	199	184	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	1	0	1	0	4	1	3	2	5	1	1	0	2	2	3	3	5	2	0	0	1	3	1	2	0	1	1	2	0	
2	11	8	26	17	45	24	55	40	53	39	12	14	16	48	29	60	34	77	30	24	25	19	39	25	63	22	10	26	21	
6	4	8	24	20	23	19	20	23	55	32	12	18	21	23	20	11	29	45	11	21	20	14	20	15	29	16	9	20	19	
84	48	231	325	135	244	153	408	229	474	268	118	221	326	243	264	184	420	614	151	190	208	127	151	253	259	190	105	146	139	
0	2	2	1	2	4	1	4	0	8	3	0	3	1	3	0	1	1	8	2	1	0	2	3	3	0	0	1	2	1	
0	1	3	2	0	5	1	7	2	3	6	0	2	2	3	1	3	3	6	0	3	0	2	3	1	2	1	2	2	2	
0	0	0	1	0	2	1	3	4	4	0	0	2	2	1	2	1	2	8	0	2	3	1	1	3	1	1	0	0	1	
1	0	0	0	0	1	1	3	0	5	2	1	0	0	0	0	2	3	0	0	2	0	0	0	0	2	1	0	1	1	
