"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	"УИК №1916"	"УИК №1917"	"УИК №1918"	"УИК №1919"	"УИК №1920"	"УИК №1921"	"УИК №1922"	"УИК №1923"	"УИК №1924"	"УИК №1925"	"УИК №1926"	"УИК №1927"	"УИК №1928"	"УИК №1929"	"УИК №1930"	"УИК №1931"	"УИК №1932"	"УИК №1933"	"УИК №1934"	"УИК №1935"	"УИК №1936"	"УИК №1937"	"УИК №1938"	"УИК №1939"	"УИК №1940"	"УИК №1941"	"УИК №1944"	"УИК №1945"	"УИК №1946"	"УИК №1947"	"УИК №1948"	"УИК №1949"	"УИК №1950"	"УИК №1951"	"УИК №1952"	"УИК №1953"	"УИК №1954"	"УИК №1955"	"УИК №1956"	"УИК №1957"	"УИК №1958"	"УИК №1960"	"УИК №1961"	"УИК №1962"	"УИК №1964"	"УИК №1965"	"УИК №1966"	"УИК №1967"	"УИК №1968"	"УИК №1969"	"УИК №1970"	"УИК №1971"	
817	103	112	316	297	114	293	235	351	75	65	158	213	152	305	372	175	178	201	199	139	1049	1067	965	490	156	1127	1024	102	701	911	208	630	356	169	113	494	661	490	129	526	193	435	147	64	727	72	123	126	875	133	365	484	138	408	210	287	70	123	
860	106	120	330	310	115	285	230	360	80	65	165	225	150	329	400	185	190	214	218	150	1140	1220	1010	530	164	1180	1020	100	730	940	218	609	350	183	120	512	670	521	132	530	200	448	154	70	750	74	135	130	900	140	394	510	150	445	215	300	72	130	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
647	89	89	261	233	93	194	174	224	68	63	126	163	137	244	313	145	155	176	139	123	793	814	744	365	145	940	757	90	563	705	176	409	234	147	81	403	510	392	112	398	146	340	99	59	586	62	106	113	657	128	235	370	104	340	177	233	66	108	
26	0	0	6	22	5	0	2	10	0	0	5	0	0	15	15	16	13	4	15	5	32	27	54	4	3	4	82	0	22	27	7	26	17	7	6	37	34	15	0	32	16	20	10	0	27	3	3	4	51	0	13	33	6	12	5	20	0	2	
187	17	31	63	55	17	91	54	126	12	2	34	62	13	70	72	24	22	34	64	22	315	379	212	161	16	236	181	10	145	208	35	174	99	29	33	72	126	114	20	100	38	88	45	11	137	9	26	13	192	12	146	107	40	93	33	47	6	20	
26	0	0	6	22	5	0	2	10	0	0	5	0	0	15	15	16	13	4	15	5	32	27	54	4	3	4	82	0	22	27	7	26	17	7	6	37	34	15	0	32	16	20	10	0	27	3	3	4	51	0	13	33	6	12	5	20	0	2	
647	89	89	261	233	93	194	174	224	68	63	126	163	137	244	313	145	155	174	139	123	793	814	744	365	145	940	753	90	563	705	176	409	234	147	81	403	510	392	112	398	146	340	99	59	586	62	106	113	657	128	235	370	104	340	177	233	66	108	
0	0	0	4	0	0	3	0	0	0	0	0	0	1	0	2	2	0	2	4	0	14	9	1	3	0	11	7	1	7	17	0	2	4	0	0	0	1	0	1	1	0	4	2	0	7	0	0	0	1	0	1	0	0	0	1	0	1	0	
673	89	89	263	255	98	191	176	234	68	63	131	163	136	259	326	159	168	176	150	128	811	832	797	366	148	933	828	89	578	715	183	433	247	154	87	440	543	407	111	429	162	356	107	59	606	65	109	117	707	128	247	403	110	352	181	253	65	110	
