"УИК №544"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	"УИК №901"	"УИК №902"	"УИК №903"	"УИК №904"	"УИК №905"	"УИК №906"	"УИК №907"	"УИК №908"	"УИК №909"	
117	1813	1662	724	1540	580	276	395	88	90	297	831	913	285	99	77	265	290	447	485	175	301	130	257	
120	1860	1725	772	1610	581	283	411	91	99	326	855	929	293	104	80	266	292	474	498	180	323	136	273	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104	877	960	458	1254	418	234	279	67	63	191	657	846	210	62	66	194	206	219	390	132	255	96	174	
7	105	253	74	81	55	22	61	11	18	72	83	13	58	30	5	53	62	108	51	20	27	24	54	
9	878	512	240	275	108	27	71	13	18	63	115	70	25	12	9	19	24	147	57	28	41	16	45	
7	105	253	74	81	55	22	61	11	18	72	83	13	58	30	5	53	62	108	51	20	27	24	54	
104	877	910	458	1254	418	234	279	67	63	191	657	846	210	62	66	194	206	219	390	132	255	96	174	
1	11	16	8	11	7	2	0	0	0	2	9	3	0	0	0	1	0	0	2	0	0	0	0	
110	971	1147	524	1324	466	254	340	78	81	261	731	856	268	92	71	246	268	327	439	152	282	120	228	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	5	7	3	7	0	1	2	0	2	1	2	3	1	0	0	1	1	3	1	1	2	0	0	
4	137	184	95	148	52	27	33	6	9	14	42	73	23	3	2	33	19	38	23	11	20	3	8	
9	125	96	39	109	36	20	16	4	2	19	35	12	15	4	5	6	12	43	39	13	11	8	10	
93	677	827	373	1042	368	206	283	68	68	220	641	752	221	85	61	201	235	242	375	126	247	107	207	
0	11	12	3	7	6	0	3	0	0	2	2	10	3	0	2	2	1	0	1	0	1	1	0	
2	7	16	6	4	1	0	1	0	0	4	5	5	4	0	1	2	0	0	0	0	1	1	2	
1	4	0	3	4	3	0	1	0	0	0	2	1	1	0	0	1	0	0	0	1	0	0	0	
0	5	5	2	3	0	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	
