"УИК №101"	"УИК №102"	"УИК №103"	"УИК №104"	"УИК №105"	"УИК №106"	"УИК №107"	"УИК №108"	"УИК №109"	"УИК №110"	
990	1074	477	361	296	415	197	215	511	206	
1010	1040	430	340	270	390	180	190	510	180	
0	0	0	0	0	0	0	0	0	0	
498	524	197	163	177	147	94	110	192	85	
142	85	88	81	17	84	51	23	87	44	
370	431	145	96	76	159	35	57	231	51	
142	85	88	81	17	84	51	23	87	44	
498	524	197	163	177	147	94	110	192	85	
10	10	1	2	3	2	1	1	1	0	
630	599	284	242	191	229	144	132	278	129	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

5	3	2	2	0	0	4	1	3	0	
66	65	22	23	16	6	4	9	35	5	
82	62	23	16	18	30	13	15	34	11	
449	453	227	198	152	184	118	102	198	113	
12	8	6	1	3	3	2	1	4	0	
4	4	3	2	0	2	2	2	3	0	
5	1	1	0	2	1	1	1	0	0	
7	3	0	0	0	3	0	1	1	0	
