"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №592"	
2014	353	506	179	125	159	113	
1729	292	436	162	102	142	90	
0	0	0	0	0	0	0	
1112	99	301	106	69	92	71	
118	57	50	13	16	12	5	
499	136	85	43	17	38	14	
118	57	50	13	16	12	5	
1112	99	301	106	69	92	71	
17	2	3	0	1	4	2	
1213	154	348	119	84	100	74	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	

13	0	7	1	0	0	0	
354	31	57	29	12	8	5	
115	14	38	10	2	4	3	
694	103	237	77	69	87	64	
15	2	1	0	0	1	1	
8	2	1	1	1	0	0	
10	0	5	1	0	0	0	
4	2	2	0	0	0	1	
