"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	"УИК №623"	"УИК №624"	"УИК №625"	"УИК №626"	"УИК №627"	"УИК №628"	"УИК №629"	"УИК №630"	"УИК №631"	"УИК №632"	"УИК №633"	"УИК №634"	"УИК №635"	"УИК №636"	"УИК №637"	"УИК №638"	"УИК №639"	"УИК №640"	"УИК №641"	"УИК №642"	"УИК №643"	"УИК №644"	"УИК №645"	"УИК №646"	"УИК №647"	"УИК №648"	"УИК №649"	"УИК №650"	"УИК №651"	"УИК №652"	"УИК №653"	"УИК №654"	"УИК №655"	"УИК №656"	"УИК №657"	"УИК №658"	"УИК №659"	"УИК №660"	"УИК №661"	"УИК №662"	"УИК №663"	"УИК №664"	"УИК №665"	"УИК №666"	"УИК №667"	"УИК №668"	"УИК №669"	"УИК №670"	"УИК №671"	"УИК №672"	"УИК №673"	"УИК №674"	"УИК №675"	"УИК №676"	"УИК №677"	"УИК №678"	"УИК №679"	"УИК №680"	
1509	1416	1248	474	1140	848	1065	979	1571	1344	1314	1099	928	1250	1553	1305	1102	726	1255	1523	1460	1638	1924	1230	1106	1104	813	1124	1217	999	1008	1544	2434	777	1488	1232	1748	1274	1448	1461	1458	1329	1892	1329	1812	1166	1148	227	173	974	512	376	454	177	91	662	169	756	203	529	123	208	613	848	284	1085	358	1414	526	343	1817	874	152	195	178	699	217	714	764	344	521	1461	398	1711	436	
1400	1400	1200	480	1100	800	950	950	1500	1300	1000	1000	850	1200	1500	1200	940	700	1300	1400	1200	1500	1500	1200	1100	1100	800	1100	1200	950	1000	1500	2000	800	1500	1250	1600	1300	1400	1400	1500	1300	1700	1300	1600	1100	1100	220	170	950	500	375	450	195	85	650	175	750	200	550	125	240	600	850	280	1100	350	1400	500	350	1500	850	155	200	180	700	225	750	750	490	500	1400	400	1500	445	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
718	705	622	310	547	538	499	540	953	949	506	650	424	756	741	643	715	418	706	873	950	850	1126	648	641	494	443	602	683	531	766	953	1630	476	811	734	802	709	782	859	910	791	1133	871	1028	678	821	115	72	497	278	225	266	81	43	407	117	419	106	283	69	133	318	498	188	689	246	824	345	173	1130	434	65	99	110	472	118	463	441	271	250	817	235	979	299	
119	107	77	155	63	24	156	87	72	58	279	64	36	49	83	166	45	88	85	133	45	83	47	45	47	68	96	84	52	37	3	34	99	21	72	49	152	44	61	100	42	52	52	31	115	61	41	41	30	138	61	51	47	34	27	104	17	116	25	63	20	42	56	63	17	51	34	124	50	44	159	84	57	34	15	94	42	74	185	73	94	158	59	127	21	
563	588	501	15	490	238	295	323	475	293	215	286	390	395	676	391	180	194	509	394	205	567	327	507	412	538	261	414	465	382	231	513	271	303	617	467	646	547	557	441	548	457	515	398	457	361	238	64	68	315	161	99	137	80	15	139	41	215	69	204	36	65	226	289	75	360	70	452	105	133	211	332	33	67	55	134	65	213	124	146	156	425	106	394	125	
119	107	77	155	63	24	156	87	72	58	279	64	36	49	83	166	45	88	85	133	45	83	47	45	47	68	96	84	52	37	3	34	99	21	72	49	152	44	61	100	42	52	52	31	115	61	41	41	30	138	61	51	47	34	27	104	17	116	25	63	20	42	56	63	17	51	34	124	50	44	159	84	57	34	15	94	42	74	185	73	94	158	59	127	21	
718	705	622	310	547	538	499	540	953	949	506	650	424	756	741	643	715	418	706	873	950	850	1126	648	641	494	443	602	677	530	766	953	1627	476	811	734	802	709	781	859	909	791	1133	871	1028	678	821	115	72	497	278	225	266	81	43	407	117	419	106	283	69	133	318	498	188	689	246	824	345	173	1130	434	65	99	110	472	118	463	441	271	250	817	235	979	299	
10	16	8	3	10	10	7	3	10	11	12	13	5	10	14	8	11	7	4	17	28	16	13	9	7	5	5	6	7	10	9	9	27	8	8	11	14	13	10	14	8	6	14	18	18	10	10	4	0	8	5	4	1	1	0	5	1	4	2	8	0	0	4	14	2	9	2	18	6	2	17	1	0	6	2	0	2	7	1	8	1	21	5	24	3	
827	796	691	462	600	552	648	624	1015	996	773	701	455	795	810	801	749	499	787	989	967	917	1160	684	681	557	534	680	722	557	760	978	1699	489	875	772	940	740	832	945	943	837	1171	884	1125	729	852	152	102	627	334	272	312	114	70	506	133	531	129	338	89	175	370	547	203	731	278	930	389	215	1272	517	122	127	123	566	158	530	625	336	343	954	289	1082	317	
