"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №22"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	
1538	324	969	1297	490	405	281	218	762	137	80	152	3127	2057	686	782	1033	522	264	1093	154	780	634	195	142	121	240	2549	138	
1400	300	800	1250	470	350	258	212	700	120	70	130	2820	1800	600	700	1000	500	250	1000	150	745	575	200	130	110	200	2300	120	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
811	135	627	732	284	265	174	148	520	77	53	81	1561	1250	363	367	567	320	180	580	74	460	327	98	69	62	136	1410	83	
24	9	13	50	163	4	3	5	19	5	2	2	53	15	11	19	39	30	7	61	13	19	25	15	8	7	14	64	1	
565	156	160	468	23	81	81	59	161	38	15	47	1206	535	226	314	394	150	63	359	63	266	223	87	53	41	50	826	36	
24	9	13	50	163	4	3	5	19	5	2	2	53	15	11	19	39	30	7	61	13	19	25	15	8	7	14	64	1	
810	135	627	732	284	265	174	148	520	77	53	81	1560	1246	363	367	567	320	180	580	74	460	327	98	69	62	136	1410	83	
4	0	7	10	56	1	2	0	2	2	0	1	14	8	5	7	3	2	2	12	0	5	6	3	0	0	0	22	1	
830	144	633	772	391	268	175	153	537	80	55	82	1599	1253	369	379	603	348	185	629	87	474	346	110	77	69	150	1452	83	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	0	5	2	23	1	1	1	3	1	0	1	12	9	4	1	4	0	1	2	1	2	1	0	0	1	0	9	0	
170	15	179	142	28	24	31	52	79	17	9	17	360	281	65	87	58	48	11	57	5	64	69	5	12	5	14	332	21	
57	6	45	59	36	19	22	14	35	5	6	7	128	69	31	32	43	42	8	46	5	38	28	12	4	8	16	142	6	
585	122	377	555	285	222	117	82	405	54	40	55	1044	857	263	249	488	252	164	513	76	361	242	90	59	53	117	919	56	
2	1	10	3	6	1	0	1	7	1	0	1	24	18	3	5	3	2	0	3	0	2	1	2	0	1	0	25	0	
3	0	4	4	4	1	2	1	5	2	0	1	11	3	2	2	4	0	1	4	0	4	3	1	0	0	1	6	0	
4	0	9	4	4	0	1	1	2	0	0	0	13	13	0	2	2	3	0	3	0	2	0	0	2	0	0	11	0	
3	0	4	3	5	0	1	1	1	0	0	0	7	3	1	1	1	1	0	1	0	1	2	0	0	1	2	8	0	
