"УИК №1801"	"УИК №1802"	"УИК №1803"	"УИК №1804"	"УИК №1805"	"УИК №1806"	"УИК №1808"	"УИК №1809"	"УИК №1810"	"УИК №1811"	"УИК №1812"	"УИК №1813"	"УИК №1814"	"УИК №1815"	"УИК №1816"	"УИК №1817"	"УИК №1818"	"УИК №1819"	"УИК №1820"	"УИК №1821"	"УИК №1822"	"УИК №1823"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	
188	456	106	2155	222	635	194	817	203	197	2734	1468	1422	1763	1454	699	600	364	752	1226	961	2741	263	608	277	391	666	1090	
190	460	110	2200	230	650	190	830	230	230	2810	1530	1470	1800	1520	690	600	375	750	1265	990	2870	260	620	280	400	700	1121	
0	0	0	0	0	13	0	0	26	0	0	0	0	0	0	0	0	29	0	0	0	0	0	22	0	0	0	21	
80	233	66	786	104	201	74	397	94	151	1548	710	675	861	720	384	306	151	281	495	411	1444	130	303	180	208	390	462	
13	57	13	61	21	81	22	56	19	0	42	52	18	37	28	17	17	12	14	35	16	98	24	27	53	12	29	71	
97	170	31	1353	105	355	94	377	91	79	1220	768	777	902	772	289	277	183	455	735	563	1328	106	268	47	180	281	567	
13	57	13	61	21	94	22	56	45	0	42	52	18	37	28	17	17	41	14	35	16	98	24	49	53	12	29	92	
80	233	66	786	104	201	74	397	94	151	1548	710	675	861	720	384	306	151	281	495	411	1444	130	303	180	208	390	462	
0	2	0	10	1	8	3	3	0	0	24	19	5	19	10	12	3	1	3	2	4	9	2	3	1	3	0	6	
93	288	79	837	124	287	93	450	139	151	1566	743	688	879	738	389	320	191	292	528	423	1533	152	349	232	217	419	548	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	1	2	8	0	0	0	7	0	0	10	4	6	5	1	4	4	1	1	0	2	3	0	1	0	3	4	3	
6	22	4	67	5	43	2	29	11	11	299	100	96	119	117	63	29	13	77	136	101	380	15	42	12	26	49	50	
15	31	6	116	14	40	9	59	10	9	160	90	103	130	77	33	46	20	33	78	43	181	17	31	37	17	33	82	
69	229	65	626	102	200	80	349	117	130	1069	527	477	612	534	288	236	155	177	300	271	953	120	270	180	168	327	403	
1	3	0	4	2	1	2	3	0	0	14	3	2	2	2	0	2	0	4	6	2	7	0	1	3	1	4	8	
0	0	2	6	1	2	0	1	1	1	6	9	2	2	1	0	1	2	0	4	2	4	0	3	0	1	2	1	
0	1	0	8	0	0	0	1	0	0	5	5	1	3	5	0	2	0	0	2	2	2	0	0	0	0	0	1	
0	1	0	2	0	1	0	1	0	0	3	5	1	6	1	1	0	0	0	2	0	3	0	1	0	1	0	0	
