"УИК №1553"	"УИК №1554"	"УИК №1557"	"УИК №1558"	"УИК №1559"	"УИК №1560"	"УИК №1561"	"УИК №1562"	"УИК №1563"	"УИК №1565"	"УИК №1566"	"УИК №1567"	"УИК №1568"	"УИК №1569"	"УИК №1570"	"УИК №1571"	"УИК №1572"	"УИК №1573"	"УИК №1574"	"УИК №1575"	"УИК №1576"	"УИК №1577"	"УИК №1578"	"УИК №1579"	"УИК №1580"	"УИК №1581"	"УИК №1582"	"УИК №1583"	"УИК №1584"	"УИК №1585"	"УИК №1586"	"УИК №1587"	"УИК №1588"	"УИК №1589"	"УИК №1590"	"УИК №1591"	"УИК №1593"	"УИК №1594"	"УИК №1595"	"УИК №1596"	
659	197	460	491	145	1052	202	286	1012	1188	1360	258	328	415	80	445	122	113	715	617	256	114	568	171	1311	1104	1711	978	1273	1158	1198	965	1618	1415	1533	688	181	235	561	336	
650	200	450	500	160	1050	210	300	1050	1200	1400	250	350	430	90	470	130	120	730	620	250	140	600	170	1250	1100	1700	1000	1300	1200	1200	1000	1650	1400	1550	730	180	240	550	340	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
499	152	301	246	105	681	114	180	746	604	649	170	212	249	40	357	95	82	547	451	144	89	407	104	935	799	1356	782	1116	945	602	732	1197	1212	1165	501	142	197	414	266	
38	14	43	59	14	161	38	52	74	103	136	41	44	60	26	23	3	11	56	27	37	8	28	23	161	99	62	50	39	50	34	50	77	57	111	60	13	3	61	17	
113	34	106	195	41	208	58	68	230	493	615	39	94	121	24	90	32	27	127	142	69	43	165	43	154	202	282	168	145	205	564	218	376	131	274	169	25	40	75	57	
38	14	43	59	14	161	38	52	74	103	136	41	44	60	26	23	3	11	56	27	37	8	28	23	161	99	62	50	39	50	34	50	77	57	111	60	13	3	61	17	
499	152	301	245	105	681	114	180	746	604	649	170	212	249	40	357	95	82	547	451	144	89	407	104	935	799	1356	782	1116	945	602	732	1197	1212	1165	501	142	197	414	266	
0	0	1	0	3	3	0	0	0	7	0	0	4	6	0	0	0	0	7	3	0	0	0	2	0	6	3	5	7	36	6	3	9	5	4	1	1	0	0	0	
537	166	343	304	116	839	152	232	820	700	785	211	252	303	66	380	98	93	596	475	181	97	435	125	1096	892	1415	827	1148	959	630	779	1265	1264	1272	560	154	200	475	283	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	1	1	1	3	1	0	5	0	2	2	1	0	0	2	0	2	5	4	0	1	2	0	7	6	7	6	4	1	4	4	9	7	15	2	0	1	0	1	
57	5	35	25	11	99	20	34	105	83	81	3	32	31	7	22	5	9	52	52	18	0	44	9	113	84	223	61	141	73	99	85	216	28	94	70	7	27	22	32	
17	3	23	28	4	45	6	8	44	42	50	10	27	16	3	18	2	3	44	38	14	3	11	1	54	42	41	40	44	8	37	37	54	43	81	18	7	6	30	6	
448	157	280	245	98	686	124	189	656	569	639	188	183	250	55	331	90	78	484	379	146	91	373	107	907	746	1135	691	944	855	471	642	967	1144	1024	454	138	163	415	234	
3	1	0	0	0	2	0	1	0	1	5	0	3	1	1	1	1	1	8	1	1	0	2	0	2	3	3	12	8	6	4	1	7	12	9	11	0	1	6	6	
9	0	0	4	0	1	0	0	5	4	7	2	4	1	0	3	0	0	2	0	1	1	0	1	4	4	2	5	3	4	8	7	6	12	20	1	0	2	2	2	
1	0	2	1	2	1	1	0	1	0	0	5	2	2	0	1	0	0	1	1	0	0	0	0	7	4	1	6	3	5	6	3	4	10	17	2	0	0	0	2	
2	0	2	0	0	2	0	0	4	1	1	1	0	2	0	2	0	0	0	0	1	1	3	7	2	3	3	6	1	7	1	0	2	8	12	2	2	0	0	0	
