"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	"УИК №798"	"УИК №799"	"УИК №800"	"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	"УИК №811"	"УИК №812"	"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	
2596	1653	2124	1529	1614	1603	412	47	53	535	86	587	112	90	177	350	702	112	716	164	123	912	851	242	846	581	681	883	206	72	177	437	214	54	138	587	125	75	355	941	146	198	190	651	82	156	478	247	382	399	198	477	
2440	1650	2050	1540	1600	1550	420	47	51	560	87	575	106	90	180	370	725	115	760	153	122	865	830	240	870	595	710	910	181	72	190	465	220	72	133	555	117	85	385	985	158	200	202	655	83	168	465	246	400	410	237	495	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1556	1039	1155	877	932	984	312	42	44	368	57	326	80	73	112	227	514	80	437	97	87	546	630	146	457	392	390	523	135	45	87	269	129	51	82	453	86	58	244	482	93	127	105	462	53	111	301	152	233	288	184	318	
79	59	156	69	64	31	0	0	3	39	4	58	2	2	16	5	0	11	28	6	0	51	34	27	36	20	49	59	11	4	6	28	6	3	2	21	3	0	32	71	6	0	0	0	8	4	45	29	52	29	14	22	
805	552	739	594	604	535	108	5	4	153	26	191	24	15	52	138	211	24	295	50	35	268	166	67	377	183	271	328	35	23	97	168	85	18	49	81	28	27	109	432	59	73	97	193	22	53	119	65	115	93	39	155	
79	59	156	69	64	31	0	0	3	39	4	58	2	2	16	5	0	11	28	6	0	51	34	27	36	20	49	59	11	4	6	28	6	3	2	21	3	0	32	71	6	0	0	0	8	4	45	29	52	29	14	22	
1556	1039	1155	877	932	983	312	42	44	368	57	326	80	73	112	227	514	80	437	97	87	546	630	146	457	392	390	523	135	45	87	269	129	51	81	453	86	58	244	482	93	127	105	462	53	111	301	152	233	288	184	318	
26	21	9	17	7	8	0	0	0	2	0	7	1	0	0	5	2	0	3	3	0	3	0	1	5	4	8	8	2	0	1	2	1	0	1	4	0	0	2	2	0	0	0	7	0	1	5	0	2	2	1	5	
1609	1077	1302	929	989	1006	312	42	47	405	61	377	81	75	128	227	512	91	462	100	87	594	664	172	488	408	431	574	144	49	92	295	134	54	82	470	89	58	274	551	99	127	105	455	61	114	341	181	283	315	197	335	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	13	10	8	9	6	2	0	0	2	1	2	1	1	1	3	3	0	6	0	0	4	2	1	3	0	1	1	1	0	1	2	3	1	0	3	1	0	1	4	0	0	1	1	1	2	1	1	1	1	0	4	
315	260	240	148	181	195	37	1	3	87	3	73	2	0	20	32	122	3	53	7	6	69	96	15	88	60	102	73	14	5	18	97	32	4	19	62	8	12	60	126	18	17	12	101	4	16	43	26	62	28	52	18	
162	80	104	96	88	87	35	3	2	22	12	34	10	8	6	21	36	14	44	12	4	61	52	32	57	39	33	49	13	9	7	26	13	6	9	23	22	2	15	42	3	10	4	29	5	10	27	10	18	24	7	24	
1085	704	914	651	682	690	225	37	41	290	44	258	68	66	97	168	336	73	347	76	76	451	503	124	333	304	283	447	114	35	63	165	80	42	53	374	57	43	184	371	77	99	86	316	49	85	266	138	198	261	131	281	
15	10	12	7	11	10	5	0	0	2	0	4	0	0	2	1	1	1	2	1	0	1	3	0	3	3	2	2	1	0	2	4	1	0	0	2	0	0	3	4	1	1	1	3	0	1	3	1	3	0	2	4	
7	4	15	15	8	6	6	0	1	2	1	1	0	0	1	1	5	0	5	3	1	3	7	0	0	1	4	1	0	0	0	0	3	1	0	4	1	1	6	4	0	0	0	4	0	0	1	4	0	1	5	2	
11	3	3	2	6	8	2	1	0	0	0	5	0	0	0	1	6	0	2	1	0	2	1	0	4	1	2	0	0	0	1	0	1	0	0	2	0	0	2	0	0	0	1	1	1	0	0	1	1	0	0	0	
8	3	4	2	4	4	0	0	0	0	0	0	0	0	1	0	3	0	3	0	0	3	0	0	0	0	4	1	1	0	0	1	1	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	
