"УИК №1801"	"УИК №1802"	"УИК №1803"	"УИК №1804"	"УИК №1805"	"УИК №1806"	"УИК №1807"	"УИК №1808"	"УИК №1809"	"УИК №1810"	"УИК №1811"	"УИК №1812"	"УИК №1813"	"УИК №1814"	"УИК №1815"	"УИК №1816"	"УИК №1817"	"УИК №1818"	"УИК №1819"	"УИК №1820"	"УИК №1821"	"УИК №1822"	"УИК №1823"	"УИК №1824"	"УИК №1825"	"УИК №1826"	"УИК №1827"	"УИК №1828"	"УИК №1829"	"УИК №1830"	"УИК №1831"	"УИК №1832"	"УИК №1833"	"УИК №1834"	"УИК №1835"	"УИК №1836"	"УИК №1837"	"УИК №1838"	"УИК №1839"	"УИК №1840"	"УИК №1841"	"УИК №1842"	"УИК №1843"	"УИК №1844"	"УИК №1845"	"УИК №1846"	"УИК №1847"	"УИК №1848"	"УИК №1849"	"УИК №1850"	"УИК №1851"	"УИК №1852"	"УИК №1853"	"УИК №1854"	"УИК №1855"	"УИК №1856"	"УИК №1857"	"УИК №1858"	"УИК №1859"	"УИК №1860"	"УИК №1861"	"УИК №1862"	"УИК №1863"	
1904	1360	1388	1181	1631	2078	1998	2021	1644	1509	1822	1777	1642	2392	2545	1513	1420	1418	1877	1796	2166	2152	1682	2126	2326	2428	2369	2347	2614	1891	2124	1943	1807	1676	2276	2003	2299	1814	2332	1923	1985	2432	2619	2630	2655	934	2742	2325	2288	1691	1942	2102	2321	2633	2426	2160	1720	2217	1686	2013	3398	133	436	
1900	1350	1400	1200	1200	1950	2050	2000	1650	1500	1800	1800	1650	2450	2500	1500	1350	1400	1650	1650	2150	2150	1600	2050	2300	2400	2400	2250	2150	1900	2000	1950	1750	1700	2250	1900	2400	1750	2300	2000	1950	2400	2550	2620	2550	750	2450	2400	2300	1550	1900	2200	2400	2450	2450	2250	1750	2250	1450	2000	2650	133	438	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1139	842	872	603	1120	1253	1165	1278	1016	948	1100	1042	967	1498	1673	962	940	803	1108	1237	1414	1421	1096	1111	1523	1600	1529	1573	1799	1267	1423	1256	1252	1137	1508	1316	1445	1073	1494	1049	1176	1341	1517	1593	1737	624	1904	1527	1463	1191	1272	1380	1555	1682	1702	1444	1149	1488	980	1193	2470	125	436	
38	55	37	35	8	29	62	41	52	52	45	39	38	62	65	37	51	25	54	39	35	28	46	12	47	50	59	47	29	16	34	38	25	42	44	37	27	56	57	27	78	71	92	53	31	22	48	52	58	24	54	48	40	59	22	39	26	22	13	17	32	8	0	
723	453	491	562	72	668	823	681	582	500	655	719	645	890	762	501	359	572	488	374	701	701	458	927	730	750	813	630	322	617	543	656	473	521	698	547	928	621	749	924	696	988	941	974	782	104	498	821	779	335	574	772	805	709	726	767	575	740	457	790	148	0	2	
38	55	37	35	8	29	62	41	52	52	45	39	38	62	65	37	51	25	54	39	35	28	46	12	47	50	59	47	29	16	34	38	25	42	44	37	27	56	57	27	78	71	92	53	31	22	48	52	58	24	54	48	40	59	22	39	26	22	13	17	32	8	0	
1139	842	872	603	1120	1253	1165	1278	1016	944	1100	1042	966	1498	1673	960	940	803	1107	1237	1414	1421	1096	1111	1523	1599	1529	1573	1799	1267	1423	1256	1252	1137	1508	1316	1444	1073	1494	1049	1176	1341	1517	1593	1736	624	1904	1527	1463	1191	1272	1380	1554	1682	1702	1444	1148	1487	980	1193	2470	125	436	
17	12	10	16	19	37	26	16	18	24	19	16	24	24	32	18	9	9	24	18	17	16	16	13	26	25	20	18	19	7	22	13	18	16	13	14	19	10	23	17	22	18	26	16	22	12	27	14	17	27	14	21	15	30	17	26	11	19	20	12	21	3	2	
1160	885	899	622	1109	1245	1201	1303	1050	972	1126	1065	980	1536	1706	979	982	819	1137	1258	1432	1433	1126	1110	1544	1624	1568	1602	1809	1276	1435	1281	1259	1163	1539	1339	1452	1119	1528	1059	1232	1394	1583	1630	1745	634	1925	1565	1504	1188	1312	1407	1579	1711	1707	1457	1163	1490	973	1198	2481	130	434	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	10	7	2	6	6	7	6	7	8	11	5	5	8	14	7	3	4	5	7	6	9	9	9	10	11	13	11	8	6	8	7	7	3	8	8	4	7	13	6	12	3	6	6	8	4	11	13	5	9	7	6	8	14	6	12	7	7	7	4	12	0	0	
189	123	145	85	124	156	171	225	150	105	123	111	112	209	250	128	135	112	119	176	245	199	152	132	207	214	218	218	284	186	190	162	164	176	229	215	168	154	186	121	137	203	242	215	233	68	246	205	208	139	171	191	221	242	206	196	153	196	112	139	452	4	19	
