"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	
266	191	465	396	577	486	113	109	270	1465	441	242	58	2019	1809	232	458	158	119	193	163	
285	205	495	405	600	525	120	110	275	1525	435	255	65	2065	1850	225	470	150	110	210	184	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
219	167	333	262	361	291	70	72	166	810	296	169	43	1116	1031	163	308	103	104	169	115	
11	6	11	7	20	32	4	4	24	47	18	8	2	58	52	13	11	0	3	4	8	
55	32	151	136	219	202	46	34	85	668	121	78	20	891	767	49	151	47	3	37	61	
11	6	11	7	20	32	4	4	24	47	18	8	2	58	52	13	11	0	3	4	8	
219	167	333	262	361	291	70	72	166	810	296	169	43	1116	1031	163	308	103	104	169	115	
2	2	0	4	7	4	0	2	1	13	3	0	0	13	16	3	6	0	1	0	1	
228	171	344	265	374	319	74	74	189	844	311	177	45	1161	1067	173	313	103	106	173	122	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	0	0	0	3	0	1	1	1	5	0	0	0	5	4	0	2	0	1	0	0	
27	9	64	84	97	83	33	17	28	164	56	23	8	273	239	45	38	17	16	21	27	
0	0	2	2	10	38	7	1	16	77	16	4	5	56	57	10	23	1	5	2	1	
195	162	277	178	261	194	30	53	141	582	236	148	31	811	745	116	243	84	83	149	93	
4	0	0	1	1	4	3	2	2	8	0	1	0	7	6	1	2	0	1	1	1	
1	0	1	0	1	0	0	0	0	5	0	0	1	4	7	1	1	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	2	0	0	1	6	0	0	0	0	0	0	
0	0	0	0	1	0	0	0	1	3	1	1	0	4	3	0	4	1	0	0	0	
