"УИК №543"	"УИК №544"	"УИК №545"	"УИК №546"	"УИК №547"	"УИК №548"	"УИК №549"	"УИК №550"	"УИК №551"	"УИК №552"	"УИК №553"	"УИК №554"	"УИК №555"	"УИК №556"	"УИК №557"	"УИК №558"	"УИК №559"	"УИК №560"	"УИК №561"	
1734	1802	1861	324	163	449	292	211	718	574	389	621	576	467	1213	680	1228	367	301	
1600	1700	1600	300	150	400	250	200	700	500	300	600	550	400	1000	700	1100	350	300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
993	898	923	177	90	250	173	99	352	274	188	259	249	207	528	308	559	156	138	
142	28	49	7	6	12	14	0	18	40	11	11	12	11	33	28	23	24	29	
465	774	628	116	54	138	63	101	330	186	101	330	289	182	439	364	518	170	133	
142	28	49	7	6	12	14	0	18	40	11	11	12	11	33	28	23	24	29	
993	898	923	177	90	250	173	99	352	274	188	259	249	207	528	308	559	156	138	
13	18	12	1	2	4	0	1	3	0	2	7	6	4	6	6	9	6	2	
1122	908	960	183	94	258	187	98	367	314	197	263	255	214	555	330	573	174	165	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	6	11	0	0	3	3	0	4	1	3	0	0	0	1	3	6	2	1	
148	133	101	19	6	23	16	4	27	31	15	22	16	22	45	27	74	21	25	
74	57	100	10	4	27	13	6	28	14	5	20	10	28	37	24	22	9	6	
861	675	732	148	83	196	150	85	302	258	173	215	225	159	467	264	464	141	133	
11	11	7	4	0	7	3	3	0	3	1	3	1	1	2	6	4	0	0	
5	8	7	2	0	2	2	0	1	3	0	3	3	3	3	1	1	0	0	
10	10	0	0	1	0	0	0	3	2	0	0	0	1	0	2	1	0	0	
7	8	2	0	0	0	0	0	2	2	0	0	0	0	0	3	1	1	0	
