"УИК №1897"	"УИК №1898"	"УИК №1899"	"УИК №1900"	"УИК №1901"	"УИК №1902"	"УИК №1903"	"УИК №1904"	"УИК №1905"	"УИК №1906"	"УИК №1907"	"УИК №1908"	"УИК №1909"	"УИК №1910"	"УИК №1911"	"УИК №1912"	"УИК №1913"	"УИК №1914"	"УИК №1915"	"УИК №1916"	"УИК №1917"	"УИК №1918"	"УИК №1919"	"УИК №1920"	"УИК №1921"	"УИК №1922"	"УИК №1923"	"УИК №1924"	"УИК №1925"	"УИК №1926"	"УИК №1927"	"УИК №1928"	"УИК №2017"	"УИК №2018"	"УИК №2019"	
1251	1314	1566	1842	2134	2164	2307	2062	2213	1244	2530	1233	1855	1805	2072	1315	1466	2506	1641	1747	1999	1324	1557	2220	2486	1943	2014	2278	2160	2012	2135	1994	2065	1516	2314	
1200	1300	1500	1700	2000	2100	2300	2000	2200	1100	2500	1200	1700	1700	1900	1300	1400	2400	1600	1700	2000	1200	1500	2200	2500	1800	1900	2300	2100	2000	2100	2000	2000	1500	2300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
701	575	910	1185	1323	1181	1325	1265	1469	795	1515	654	1179	872	1276	764	898	1277	824	1033	1012	636	969	1262	1375	1037	1185	1198	1151	1133	1165	1036	1222	778	1079	
49	50	54	54	37	35	26	69	22	46	43	25	20	38	18	25	26	27	31	45	46	10	33	115	10	6	26	35	36	24	59	49	9	5	14	
450	675	536	461	640	884	949	666	709	259	942	521	501	790	606	511	476	1096	745	622	942	554	498	823	1115	757	689	1067	913	843	876	915	769	717	1207	
49	50	54	54	37	35	26	69	22	46	43	25	20	38	18	25	26	27	31	45	46	10	33	115	10	6	26	35	36	24	59	49	9	5	14	
701	575	910	1185	1323	1181	1325	1265	1466	795	1515	654	1179	872	1276	764	898	1276	824	1033	1012	635	969	1262	1375	1037	1185	1197	1151	1132	1165	1036	1222	778	1079	
4	2	13	17	16	19	19	10	16	9	17	12	19	10	11	15	10	18	16	12	19	6	10	16	20	10	20	22	16	17	11	16	20	12	6	
746	623	951	1222	1344	1197	1332	1324	1472	832	1541	667	1180	900	1283	774	914	1285	839	1066	1039	639	992	1361	1365	1033	1191	1210	1171	1139	1213	1069	1211	771	1087	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	1	1	5	13	7	5	13	10	2	9	5	4	2	7	7	8	10	1	7	9	2	5	17	7	9	9	7	3	6	11	7	4	5	4	
132	117	168	212	254	220	267	243	263	160	255	119	229	132	249	148	144	232	167	182	166	120	187	227	240	180	229	170	189	176	238	202	254	147	206	
56	38	57	98	69	81	92	74	72	45	108	48	80	63	62	39	48	83	54	53	56	42	70	83	93	67	81	87	71	68	70	69	52	48	71	
536	450	688	848	950	834	923	941	1071	594	1115	477	815	671	874	545	686	912	599	786	774	458	698	991	971	729	843	919	877	858	857	766	846	549	767	
7	4	18	29	30	25	13	13	25	11	17	8	19	17	43	12	9	10	7	12	14	5	10	19	18	24	11	13	8	15	13	12	30	11	18	
3	8	7	8	2	9	8	11	6	1	13	3	9	8	8	3	6	13	3	10	6	5	6	9	9	4	8	1	8	4	3	3	6	2	6	
4	2	6	10	9	9	10	13	15	4	10	4	8	6	14	8	4	11	2	8	6	4	5	6	10	5	5	4	3	4	9	5	10	5	12	
3	3	6	12	17	12	14	16	10	15	14	3	16	1	26	12	9	14	6	8	8	3	11	9	17	15	5	9	12	8	12	5	9	4	3	
