"УИК №2852"	"УИК №2853"	"УИК №2854"	"УИК №2855"	"УИК №2856"	"УИК №2857"	"УИК №2858"	"УИК №2859"	"УИК №2860"	"УИК №2861"	"УИК №2862"	"УИК №2863"	"УИК №2864"	"УИК №2865"	"УИК №2866"	"УИК №2867"	"УИК №2868"	"УИК №2869"	"УИК №2870"	"УИК №2871"	"УИК №2872"	"УИК №2873"	"УИК №2874"	"УИК №2875"	"УИК №3766"	
2275	2247	2340	1807	1370	2450	2285	1293	2115	1963	2555	1558	2407	1259	2792	2576	2009	1133	244	2599	1761	2294	2321	2686	581	
1768	1821	1754	1393	980	1926	1749	1030	1659	1587	2040	1181	1751	857	2066	1946	1490	823	212	2101	1356	1689	1846	2137	800	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1172	1180	1168	965	766	1373	1405	750	1138	1123	1613	909	1326	738	1548	1432	1139	666	131	1383	1113	1198	1400	1556	480	
56	47	74	57	11	57	42	34	50	66	38	39	82	17	39	47	80	11	9	31	46	50	63	53	0	
540	594	512	371	203	494	302	246	471	396	386	233	343	102	479	467	271	146	72	687	197	441	383	528	320	
56	47	74	57	11	57	42	34	50	66	38	39	82	17	39	47	80	11	9	31	46	50	63	53	0	
1172	1179	1168	965	764	1372	1405	749	1135	1121	1613	907	1325	737	1546	1431	1138	666	131	1383	1113	1198	1398	1554	480	
19	13	27	10	23	19	42	33	12	18	27	16	16	8	20	22	12	8	2	28	18	18	36	26	8	
1209	1213	1215	1012	752	1410	1405	750	1173	1169	1624	930	1391	746	1565	1456	1206	669	138	1386	1141	1230	1425	1581	472	
0	0	0	0	0	2	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	10	15	12	8	18	23	8	23	20	25	6	15	18	14	22	12	11	0	11	20	15	8	16	5	
115	155	152	139	106	204	187	88	145	128	240	124	185	126	208	206	156	108	18	173	154	151	170	200	46	
63	48	55	43	32	57	60	38	46	53	74	31	63	40	94	85	74	29	7	50	68	65	79	79	28	
896	865	862	699	520	925	1003	493	843	843	1120	665	962	474	1074	981	808	448	98	986	786	892	1036	1124	358	
51	70	52	50	37	100	63	47	52	50	72	44	77	38	77	90	60	35	4	74	40	48	57	73	12	
9	6	7	10	5	12	10	7	7	9	9	2	5	3	6	10	11	6	0	7	6	7	9	11	4	
16	16	27	14	13	33	26	15	19	16	33	18	21	21	46	25	27	13	2	31	24	14	18	27	6	
49	43	45	45	31	61	33	54	38	50	51	40	63	26	46	37	58	19	9	54	43	38	48	51	13	
