"УИК №3001"	"УИК №3002"	"УИК №3003"	"УИК №3004"	"УИК №3005"	"УИК №3006"	"УИК №3007"	"УИК №3008"	"УИК №3009"	"УИК №3010"	"УИК №3011"	"УИК №3012"	"УИК №3013"	"УИК №3014"	"УИК №3015"	"УИК №3016"	"УИК №3017"	"УИК №3018"	"УИК №3019"	"УИК №3020"	"УИК №3021"	"УИК №3022"	"УИК №3023"	"УИК №3024"	"УИК №3025"	"УИК №3026"	"УИК №3027"	"УИК №3028"	"УИК №3029"	"УИК №3030"	
1186	1016	1218	406	422	297	515	147	892	160	103	619	174	365	56	181	486	1281	954	1184	1175	257	458	149	121	131	563	643	171	95	
1200	1250	1200	441	494	341	565	176	900	176	105	651	173	466	85	222	619	1300	900	1300	1300	290	484	179	123	164	675	737	184	105	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
681	554	736	194	205	202	355	91	436	88	51	276	86	250	31	110	272	840	477	697	689	181	211	80	70	73	325	318	105	55	
250	140	126	23	114	39	55	15	189	30	16	66	25	48	19	34	151	60	150	57	55	37	82	30	16	26	185	140	15	10	
269	556	338	224	175	100	155	70	275	58	38	309	62	168	35	78	196	400	273	546	556	72	191	69	37	65	165	279	64	40	
250	140	126	23	114	39	55	15	189	30	16	66	25	48	19	34	151	60	150	57	55	37	82	30	16	26	185	140	15	10	
681	554	736	194	205	202	355	91	436	88	51	276	86	250	31	110	272	840	477	697	689	181	211	80	70	73	325	318	105	55	
5	7	18	1	2	0	2	1	5	1	0	5	0	2	0	1	5	9	6	8	7	1	1	0	0	0	1	3	0	0	
926	687	844	216	317	241	408	105	620	117	67	337	111	296	50	143	418	891	621	746	737	217	292	110	86	99	509	455	120	65	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	7	4	4	5	0	2	2	0	2	0	1	0	2	0	0	4	6	2	6	4	0	3	1	0	0	2	0	0	0	
115	112	96	30	25	14	38	20	64	7	6	42	23	25	14	6	37	97	66	104	115	19	40	6	9	8	47	41	12	3	
44	51	83	25	12	16	30	11	47	10	6	26	8	24	1	14	16	48	39	47	62	10	18	10	2	11	27	31	8	4	
745	506	643	149	267	208	334	72	493	98	54	257	74	240	35	122	354	725	494	572	539	181	224	93	73	79	424	372	96	55	
5	5	7	4	3	1	0	0	3	0	0	3	5	1	0	0	3	5	3	3	6	0	2	0	1	0	4	2	3	0	
9	3	9	2	4	2	2	0	4	0	0	5	1	2	0	1	3	1	12	5	6	1	2	0	0	0	3	7	1	3	
3	1	2	2	0	0	2	0	6	0	0	2	0	1	0	0	0	4	5	6	2	4	2	0	1	0	1	0	0	0	
4	2	0	0	1	0	0	0	3	0	1	1	0	1	0	0	1	5	0	3	3	2	1	0	0	1	1	2	0	0	
