"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	"УИК №898"	"УИК №899"	"УИК №900"	
1135	1188	576	732	680	193	276	473	103	151	135	688	223	232	161	478	182	
1200	1200	600	800	750	200	300	500	120	180	150	700	270	250	170	500	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
598	679	357	426	339	98	151	240	46	102	97	254	148	152	70	241	101	
114	96	56	84	122	27	16	115	30	23	16	239	46	42	42	108	36	
488	425	187	290	289	75	133	145	44	55	37	207	76	56	58	151	63	
114	96	56	84	122	27	16	115	30	23	16	239	46	42	42	108	36	
598	679	357	426	339	98	151	240	46	102	97	254	148	152	70	241	101	
12	6	3	5	6	0	0	1	0	2	2	3	4	0	1	1	0	
700	769	410	505	455	125	167	354	76	123	111	490	190	194	111	348	137	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	3	1	2	2	0	0	1	0	1	1	5	1	0	0	0	0	
137	128	100	83	73	4	15	44	3	13	4	44	40	5	16	32	9	
77	80	32	70	39	14	19	37	5	5	4	30	18	9	12	32	11	
463	531	261	341	328	106	126	262	68	102	102	394	130	178	79	277	114	
7	8	4	3	3	1	2	4	0	0	0	9	1	1	0	2	2	
4	9	6	3	7	0	4	4	0	1	0	4	0	1	3	3	1	
1	4	2	1	3	0	1	1	0	0	0	2	0	0	0	2	0	
4	6	4	2	0	0	0	1	0	1	0	2	0	0	1	0	0	
