"УИК №2667"	"УИК №2668"	"УИК №2669"	"УИК №2670"	"УИК №2671"	"УИК №2672"	"УИК №2673"	"УИК №2674"	"УИК №2675"	"УИК №2676"	"УИК №2677"	"УИК №2678"	"УИК №2679"	"УИК №2680"	"УИК №2681"	"УИК №2682"	"УИК №2683"	"УИК №2684"	"УИК №2685"	"УИК №2686"	"УИК №2687"	"УИК №2688"	"УИК №2689"	"УИК №2690"	"УИК №2691"	"УИК №2692"	"УИК №2693"	"УИК №2694"	"УИК №2695"	"УИК №2696"	"УИК №2697"	"УИК №2698"	"УИК №2699"	"УИК №2700"	"УИК №2701"	"УИК №2702"	"УИК №3759"	
2413	2543	2126	1615	2056	1971	2096	2206	2091	2350	2099	1771	1584	1944	1221	2380	2114	2041	1898	2136	2212	1402	1611	1387	1745	1828	2193	2238	2390	2148	2088	1965	2540	2162	2046	2517	39	
2000	2100	1800	1400	1700	1600	1700	1800	1700	2000	1800	1400	1300	1600	900	1900	1800	1700	1600	1800	1900	1100	1300	1100	1400	1500	1800	1800	1900	1700	1700	1600	2000	1600	1800	2000	50	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1503	1441	1183	957	1215	1154	1234	1205	1169	1344	1221	1066	911	1246	652	1408	1274	1159	1077	1242	1311	838	924	837	1046	1118	1275	1240	1366	1223	1226	1227	1526	1470	1214	1377	37	
39	50	54	14	45	24	40	39	42	25	26	20	21	26	17	44	27	29	23	35	29	12	22	24	39	12	23	39	32	27	32	18	17	14	116	30	1	
458	609	563	429	440	422	426	556	489	631	553	314	368	328	231	448	499	512	500	523	560	250	354	239	315	370	502	521	502	450	442	355	457	116	470	593	12	
39	50	54	14	45	24	40	39	42	25	26	20	21	26	17	44	27	29	23	35	28	12	22	24	39	12	23	39	32	27	32	18	17	14	116	30	1	
1503	1441	1183	957	1212	1145	1234	1204	1167	1343	1219	1064	910	1246	650	1406	1272	1159	1075	1242	1311	838	924	836	1046	1118	1270	1238	1361	1222	1225	1227	1521	1468	1208	1377	37	
18	21	23	26	45	16	18	15	13	18	23	20	14	13	9	10	18	14	19	17	22	15	15	8	18	22	19	23	21	12	21	21	24	13	20	14	1	
1524	1470	1214	945	1212	1153	1256	1228	1196	1350	1222	1064	917	1259	658	1440	1281	1174	1079	1260	1317	835	931	852	1067	1108	1274	1254	1372	1237	1236	1224	1514	1469	1304	1393	37	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	12	14	6	6	12	11	10	13	8	8	11	5	5	9	15	9	4	12	9	15	2	9	7	8	11	5	12	18	15	6	23	11	9	16	23	0	
198	169	116	120	151	140	114	124	118	195	135	119	103	153	87	154	154	140	133	178	142	88	125	99	126	162	156	115	175	157	127	172	206	183	116	164	2	
60	85	52	39	69	43	74	64	51	69	72	52	53	62	25	96	53	52	43	63	72	39	45	35	42	54	45	49	63	48	51	75	50	39	65	40	3	
1145	1120	948	727	908	884	976	950	933	1009	921	814	686	947	500	1073	995	899	815	922	994	669	683	653	806	812	992	992	1011	909	972	879	1107	1070	1018	1018	28	
41	39	35	22	28	29	38	34	31	30	30	29	33	40	9	49	41	40	39	35	26	16	30	26	23	31	35	35	46	42	25	26	72	89	30	57	2	
14	14	11	8	13	10	8	6	7	8	15	13	7	10	5	8	5	10	4	12	14	4	3	9	13	11	7	6	11	7	18	9	10	10	12	8	0	
21	11	12	12	15	12	8	21	11	17	16	6	11	13	5	17	7	12	13	16	18	8	9	6	12	11	7	13	13	20	15	14	16	32	22	31	1	
34	20	26	11	22	23	27	19	32	14	25	20	19	29	18	28	17	17	20	25	36	9	27	17	37	16	27	32	35	39	22	26	42	37	25	52	1	
