"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	
1132	1301	977	333	245	176	323	232	349	185	214	
1000	1100	900	330	230	200	320	230	350	190	200	
0	0	0	0	0	0	0	0	0	0	0	
542	712	528	156	132	87	202	136	111	63	131	
70	43	81	96	30	17	34	32	100	58	38	
388	345	291	78	68	96	84	62	139	69	31	
70	43	81	96	30	17	34	32	100	58	38	
542	712	528	156	132	87	202	136	111	63	131	
12	7	6	11	2	1	2	3	1	0	0	
600	748	603	241	160	103	234	165	210	121	169	
0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	

4	7	3	4	2	3	3	0	6	2	0	
65	125	73	14	20	1	17	5	12	11	11	
53	60	31	20	13	7	18	5	15	2	8	
457	521	474	198	119	90	189	150	171	103	142	
3	13	8	2	2	0	0	1	2	1	1	
7	12	5	2	2	1	3	2	2	2	2	
8	5	5	0	2	1	2	0	1	0	0	
3	5	4	1	0	0	2	2	1	0	5	
