"УИК №801"	"УИК №802"	"УИК №803"	"УИК №804"	"УИК №805"	"УИК №806"	"УИК №807"	"УИК №808"	"УИК №809"	"УИК №810"	
2006	2323	1921	1977	1946	2235	2065	2610	1965	2635	
1979	2000	1700	1900	1900	2000	2000	2300	1900	2400	
0	0	0	0	0	0	0	0	0	0	
1288	1636	1148	1243	1264	1569	1429	1983	1418	1795	
24	21	236	48	34	13	24	30	24	21	
667	343	316	609	602	418	547	287	458	584	
24	21	236	48	34	13	24	30	24	21	
1288	1635	1148	1240	1264	1567	1429	1983	1418	1795	
11	16	16	21	14	12	10	21	14	9	
1301	1640	1368	1267	1284	1568	1443	1992	1428	1807	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	

10	10	13	10	11	10	7	13	12	7	
206	192	220	209	202	197	175	233	204	240	
134	152	139	131	140	128	108	189	113	149	
901	1210	942	887	884	1179	1072	1486	1054	1359	
19	36	23	17	17	18	29	32	23	32	
9	16	12	5	16	7	24	13	13	8	
14	12	10	5	12	13	19	15	3	6	
8	12	9	3	2	16	9	11	6	6	
