"УИК №1588"	"УИК №1589"	"УИК №1590"	"УИК №1591"	"УИК №1592"	"УИК №1593"	"УИК №1594"	"УИК №1595"	"УИК №1596"	"УИК №1597"	"УИК №1598"	"УИК №1599"	"УИК №1600"	"УИК №1601"	"УИК №1602"	"УИК №1603"	"УИК №1604"	"УИК №1605"	"УИК №1606"	"УИК №1607"	"УИК №1608"	"УИК №1609"	"УИК №1610"	"УИК №1611"	"УИК №1612"	"УИК №1613"	"УИК №1614"	"УИК №1615"	"УИК №1616"	"УИК №1618"	"УИК №1619"	"УИК №1620"	"УИК №1621"	"УИК №1622"	
1045	751	960	686	1335	914	974	1017	471	430	887	333	537	1057	155	150	160	1037	410	412	287	128	1093	612	174	81	855	242	1205	1025	160	83	936	243	
1000	650	950	600	1300	900	1000	1000	450	400	900	320	550	1000	140	140	150	1000	400	400	280	130	1100	600	160	80	850	250	1200	1000	150	90	950	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
634	404	459	444	650	491	554	564	241	268	511	203	285	579	91	100	114	512	237	216	142	69	622	338	85	47	471	134	603	571	98	54	460	143	
25	49	50	20	25	16	49	21	18	12	22	14	20	39	10	0	4	44	23	16	9	0	45	40	1	6	35	9	103	45	2	1	47	13	
341	197	441	136	625	393	397	415	191	120	367	103	245	382	39	40	32	444	140	168	129	61	433	222	74	27	344	107	494	384	50	35	443	94	
25	49	50	20	25	16	49	21	18	12	22	14	20	39	10	0	4	44	23	16	9	0	45	40	1	6	35	9	103	45	2	1	47	13	
634	404	459	444	650	490	554	564	241	268	511	203	285	579	91	100	114	512	237	216	142	69	622	338	85	47	471	134	603	571	98	54	460	143	
9	2	7	2	12	12	8	8	3	0	8	1	3	7	3	2	2	7	1	4	2	0	10	2	1	0	12	2	7	11	2	1	4	2	
650	451	502	462	663	494	595	577	256	280	525	216	302	611	98	98	116	549	259	228	149	69	657	376	85	53	494	141	699	605	98	54	503	154	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	1	2	1	4	4	4	3	0	0	5	2	0	4	0	0	0	2	0	1	0	0	0	0	0	0	2	0	7	2	0	0	5	0	
146	110	100	93	118	87	123	115	27	21	57	15	17	87	12	22	6	102	44	24	7	0	60	53	10	3	88	10	140	87	6	2	79	14	
35	36	48	37	61	62	41	51	18	12	39	17	16	42	2	2	1	43	26	19	17	1	32	18	11	4	18	10	36	43	2	3	18	10	
446	292	335	321	465	328	417	390	210	240	410	177	267	468	81	70	106	388	184	181	123	68	542	300	64	46	382	118	505	466	90	49	396	129	
7	3	5	3	5	5	3	8	0	1	3	3	1	4	1	1	3	7	2	1	0	0	10	2	0	0	2	0	2	4	0	0	1	0	
3	6	7	4	3	1	4	5	1	3	3	1	0	4	2	2	0	3	2	2	2	0	10	3	0	0	1	2	7	1	0	0	3	1	
4	1	2	1	4	2	2	2	0	2	3	1	1	2	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	
4	2	3	2	3	5	1	3	0	1	5	0	0	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	1	1	0	0	1	0	
