"УИК №271"	"УИК №272"	"УИК №273"	"УИК №274"	"УИК №275"	"УИК №276"	"УИК №277"	"УИК №278"	"УИК №279"	"УИК №280"	"УИК №281"	"УИК №282"	"УИК №283"	"УИК №284"	
2311	1491	1724	2478	570	484	1142	353	463	289	283	236	95	308	
2150	1400	1600	2350	540	430	1050	340	440	270	260	210	85	300	
0	0	0	0	0	0	13	2	0	0	12	10	0	0	
1252	789	981	1263	210	299	492	156	178	135	132	67	32	178	
50	22	40	59	53	23	51	11	10	18	23	2	7	16	
848	589	579	1028	277	108	494	171	252	117	93	131	46	106	
50	22	40	59	53	23	64	13	10	18	35	12	7	16	
1252	789	980	1263	210	299	492	156	178	135	132	67	32	178	
21	16	16	19	0	0	9	5	4	1	1	0	0	3	
1281	795	1004	1303	263	322	547	164	184	152	166	79	39	191	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	4	7	10	1	2	2	0	2	0	1	0	1	4	
127	79	130	181	16	5	46	9	21	3	25	7	2	13	
148	99	77	120	25	54	48	16	21	16	6	5	9	11	
954	572	754	922	218	258	432	127	133	133	128	62	25	157	
14	20	12	20	1	1	7	6	6	0	1	1	2	1	
8	13	8	12	1	0	3	3	0	0	2	4	0	2	
15	3	10	19	0	2	8	3	0	0	2	0	0	1	
8	5	6	19	1	0	1	0	1	0	1	0	0	2	
