"УИК №2401"	"УИК №2402"	"УИК №2403"	"УИК №2404"	"УИК №2405"	"УИК №2406"	"УИК №2407"	"УИК №2408"	"УИК №2409"	"УИК №2410"	"УИК №2411"	"УИК №2412"	"УИК №2413"	"УИК №2414"	"УИК №2415"	"УИК №2416"	"УИК №2417"	"УИК №2418"	"УИК №2419"	"УИК №2420"	"УИК №2421"	"УИК №2422"	"УИК №2423"	"УИК №2424"	"УИК №2425"	
1527	1565	1087	1324	1557	1544	1403	558	798	928	1135	1541	957	307	607	470	234	110	345	537	470	182	388	384	466	
1500	1600	1050	1400	1600	1600	1450	600	750	1000	1300	1700	1100	400	700	550	250	120	300	750	550	200	500	450	468	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
920	832	501	717	825	769	674	380	313	567	564	723	545	143	339	235	96	68	142	356	296	101	257	258	465	
85	61	122	87	88	92	71	28	161	104	116	215	74	53	44	60	76	20	83	117	53	41	89	70	0	
495	707	427	596	687	739	705	192	276	329	620	762	481	204	317	255	78	32	75	277	201	58	154	122	3	
85	61	122	87	88	92	71	28	161	104	116	215	74	53	44	60	76	20	83	117	53	41	89	70	0	
920	832	501	717	825	769	674	380	313	567	564	723	545	143	339	235	96	68	142	356	296	101	257	258	465	
5	6	10	8	7	8	3	4	171	5	10	8	7	1	3	2	2	0	0	3	0	0	2	2	16	
1000	887	613	796	906	853	742	404	303	666	670	930	612	195	380	293	170	88	225	470	349	142	344	326	449	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	4	5	5	3	6	5	1	1	5	4	6	3	0	2	1	3	2	4	0	0	0	0	0	2	
151	149	77	119	124	126	111	75	51	94	68	110	72	25	54	63	15	8	28	85	25	10	29	26	15	
66	73	47	65	90	76	61	21	22	35	42	78	49	13	28	14	15	10	8	22	10	0	12	16	74	
744	639	465	591	669	623	547	298	224	523	538	713	468	152	291	212	136	68	182	359	307	127	298	276	294	
7	6	7	5	5	11	6	2	1	4	5	7	7	2	1	0	1	0	1	1	6	3	2	2	44	
13	5	6	4	10	1	4	4	2	4	7	6	6	3	3	1	0	0	0	2	1	2	1	3	5	
5	4	2	1	3	5	4	2	1	0	2	4	2	0	1	0	0	0	1	0	0	0	2	1	13	
8	7	4	6	2	5	4	1	1	1	4	6	5	0	0	2	0	0	1	1	0	0	0	2	2	
