"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	"УИК №71"	"УИК №72"	"УИК №73"	"УИК №74"	"УИК №75"	"УИК №76"	"УИК №77"	"УИК №78"	"УИК №79"	"УИК №80"	"УИК №81"	"УИК №82"	"УИК №83"	
466	276	971	1786	1158	677	741	765	786	837	611	811	510	1111	1309	1709	1515	1018	1206	550	609	
492	284	1006	1720	1057	707	772	806	777	850	616	822	554	1157	1403	1662	1521	1044	1230	519	651	
0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	
270	186	551	924	716	417	473	461	503	461	395	431	307	546	613	906	898	600	651	269	384	
32	20	125	49	54	29	20	77	50	33	25	29	32	40	100	92	71	25	47	43	131	
190	78	330	747	287	261	279	268	224	356	196	358	215	571	690	664	552	419	532	207	136	
32	20	125	49	54	29	20	77	50	33	25	33	32	40	100	92	71	25	47	43	131	
270	186	551	924	716	417	473	461	503	461	395	431	307	546	613	906	898	600	651	269	384	
4	0	15	23	8	6	13	9	11	9	32	7	3	12	15	45	7	20	17	7	0	
298	206	661	950	762	440	480	529	542	485	388	457	336	574	698	953	962	605	681	305	515	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	0	6	7	4	2	3	3	5	3	4	4	2	1	5	14	4	6	1	0	1	
65	11	96	150	140	39	76	67	77	63	49	52	65	140	147	208	182	89	113	57	35	
37	23	82	111	76	52	53	52	70	105	50	34	43	53	72	87	84	66	68	29	23	
188	170	462	661	527	341	341	401	378	301	276	358	223	361	447	614	669	431	476	208	452	
4	1	5	7	5	4	2	1	3	5	5	2	2	6	12	10	5	4	8	4	2	
0	1	2	3	7	2	2	2	6	3	2	1	0	2	10	8	10	3	5	1	1	
0	0	5	9	1	0	3	1	3	3	2	3	1	4	2	6	5	1	6	4	0	
1	0	3	2	2	0	0	2	0	2	0	3	0	7	3	6	3	5	4	2	1	
