"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	
1105	1043	836	408	
1145	1073	881	488	
15	25	12	23	
832	774	561	338	
4	12	10	44	
294	262	298	83	
19	37	22	67	
831	772	561	338	
8	9	10	4	
842	800	573	401	
0	0	0	0	
0	0	0	0	

2	2	3	2	
95	109	64	22	
80	87	72	29	
629	579	419	313	
18	11	12	17	
10	4	1	5	
3	7	0	12	
5	1	2	1	
