"УИК №2541"	"УИК №2542"	"УИК №2543"	"УИК №2544"	"УИК №2545"	"УИК №2546"	"УИК №2547"	"УИК №4007"	
1388	2880	2117	925	2589	3000	2973	899	
900	2300	1700	800	1900	2200	2200	1300	
0	0	0	0	0	0	0	0	
594	1702	1181	645	1463	1578	1592	753	
110	31	26	20	59	64	81	0	
196	567	493	135	378	558	527	547	
110	31	26	20	59	64	81	0	
593	1700	1181	645	1463	1577	1592	749	
12	24	19	4	16	19	22	6	
691	1707	1188	661	1506	1622	1651	743	
0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	

3	23	8	7	11	8	18	5	
77	190	156	94	192	209	230	95	
28	95	70	40	70	80	76	26	
545	1336	899	480	1145	1213	1239	545	
19	30	20	25	42	53	32	37	
5	13	5	3	14	12	8	4	
6	10	13	7	12	13	16	21	
8	10	17	5	20	34	32	10	
