"УИК №1"	"УИК №2"	"УИК №3"	"УИК №4"	"УИК №5"	"УИК №6"	"УИК №7"	"УИК №8"	"УИК №9"	"УИК №10"	"УИК №11"	"УИК №12"	"УИК №13"	"УИК №14"	"УИК №15"	"УИК №16"	"УИК №17"	"УИК №18"	"УИК №19"	"УИК №20"	"УИК №21"	"УИК №23"	"УИК №24"	"УИК №25"	"УИК №26"	"УИК №27"	"УИК №28"	"УИК №29"	"УИК №30"	"УИК №31"	"УИК №32"	
1092	1114	1067	976	1019	1304	1023	1226	1321	166	1568	369	335	62	215	175	415	311	109	302	450	199	610	173	381	158	208	506	413	116	161	
950	1100	1050	850	950	1250	1000	1200	1300	170	1550	350	300	80	220	190	400	300	110	300	450	240	600	180	400	135	170	500	400	110	160	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
624	666	664	655	685	756	525	685	744	59	741	134	171	38	107	69	194	206	65	174	208	131	311	70	236	89	104	242	226	33	70	
57	46	24	55	42	40	36	73	69	64	131	78	85	8	57	49	82	12	15	51	72	12	125	70	76	25	39	74	73	34	25	
269	388	362	140	223	454	439	442	487	47	678	138	44	34	56	72	124	82	30	75	170	97	164	40	88	21	27	184	101	43	65	
57	46	24	55	42	40	36	73	69	64	131	78	85	8	57	49	82	12	15	51	72	12	125	70	76	25	39	74	73	34	25	
624	666	664	655	685	756	525	685	744	59	741	134	171	38	107	69	194	206	65	174	208	131	311	70	236	89	104	242	226	33	70	
9	2	8	11	16	7	6	3	8	0	5	2	1	0	1	0	6	1	0	4	1	1	3	1	1	0	1	6	1	0	0	
672	710	680	699	711	789	555	755	805	123	867	210	255	46	163	118	270	217	80	221	279	142	433	139	311	114	142	310	298	67	95	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	6	5	3	3	4	3	6	4	0	6	0	0	0	1	0	0	0	0	2	3	2	1	1	1	1	0	7	3	0	6	
96	91	102	96	90	104	78	89	95	0	125	17	26	2	9	4	20	20	1	12	33	5	24	6	22	8	6	39	31	1	6	
75	54	51	35	47	66	58	57	70	5	72	22	17	3	19	15	29	21	15	10	19	7	35	9	33	6	9	30	27	13	6	
478	533	494	537	543	596	402	588	606	118	637	162	204	41	133	97	213	171	61	192	219	127	364	119	249	96	121	229	232	51	75	
7	11	12	14	9	11	7	9	11	0	7	4	4	0	0	0	3	3	3	4	2	1	5	2	4	0	1	2	5	0	0	
5	4	8	6	6	4	4	3	4	0	14	2	3	0	0	1	1	0	0	1	2	0	2	0	2	2	1	1	0	0	1	
4	1	7	3	7	3	2	1	6	0	3	2	1	0	0	0	2	2	0	0	0	0	1	0	0	0	4	0	0	0	0	
4	10	1	5	6	1	1	2	9	0	3	1	0	0	1	1	2	0	0	0	1	0	1	2	0	1	0	2	0	2	1	
