"УИК №1401"	"УИК №1402"	"УИК №1403"	"УИК №1404"	"УИК №1405"	"УИК №1406"	"УИК №1407"	"УИК №1408"	"УИК №1409"	"УИК №1410"	"УИК №1411"	"УИК №1412"	"УИК №1413"	"УИК №1414"	"УИК №1415"	"УИК №1416"	
2009	1745	1089	1259	1254	1626	1559	1343	1107	903	1300	1079	602	861	984	372	
1600	1400	900	1000	1000	1300	1300	1100	900	800	1100	900	600	800	800	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
942	947	573	669	581	892	793	675	541	183	554	524	167	398	450	363	
52	67	73	76	60	65	106	73	33	23	41	62	27	44	75	0	
606	386	254	255	359	343	401	352	326	594	505	314	406	358	275	37	
52	67	73	76	60	65	106	73	33	23	41	62	27	44	75	0	
942	947	573	669	581	892	793	675	541	183	554	524	167	398	450	363	
17	23	12	11	13	20	16	10	14	0	10	8	4	14	12	3	
977	991	634	734	628	937	883	738	560	206	585	578	190	428	513	360	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	10	2	7	3	3	8	5	2	5	5	3	2	1	5	1	
150	131	96	101	81	148	146	116	97	19	81	65	18	43	77	13	
109	111	69	64	78	107	88	99	53	14	87	39	23	35	51	51	
679	702	442	540	443	657	607	486	397	163	396	452	143	336	368	281	
13	14	8	7	6	3	17	14	5	2	5	10	2	4	8	6	
4	4	9	8	9	9	8	7	2	1	6	7	1	4	1	2	
4	8	3	0	5	5	7	7	2	0	3	1	1	2	1	6	
13	11	5	7	3	5	2	4	2	2	2	1	0	3	2	0	
