"УИК №1244"	"УИК №1245"	"УИК №1246"	"УИК №1247"	"УИК №1248"	"УИК №1249"	"УИК №1250"	"УИК №1251"	"УИК №1252"	"УИК №1253"	"УИК №1254"	"УИК №1255"	"УИК №1256"	"УИК №1257"	"УИК №1258"	
2134	1844	1823	1896	2261	1840	2220	2767	1816	1793	2586	2531	2356	2711	2174	
1900	1800	1600	1800	2300	1800	2200	2500	1800	1800	2400	2400	2200	2600	2200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1211	1099	1120	1230	1426	1141	1272	1945	1184	1158	1662	1636	1485	1662	1423	
101	81	100	13	24	17	26	26	32	26	23	7	15	16	5	
588	620	380	557	850	642	902	529	584	616	715	757	700	922	772	
101	81	100	13	24	17	26	26	32	26	23	7	15	16	5	
1209	1099	1120	1230	1426	1139	1270	1919	1184	1158	1651	1636	1482	1658	1423	
10	82	16	11	13	18	14	28	15	8	24	16	17	21	18	
1300	1098	1204	1232	1437	1138	1282	1917	1201	1176	1650	1627	1480	1653	1410	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	12	7	17	10	12	11	8	15	10	19	13	10	13	11	
184	133	168	155	158	169	148	272	138	143	203	222	191	200	202	
59	41	57	48	62	35	68	96	63	41	72	81	86	86	86	
943	837	902	931	1128	849	956	1447	917	903	1268	1216	1107	1260	1038	
45	32	33	30	29	30	37	43	28	32	32	42	38	26	33	
8	2	8	16	8	11	13	10	12	13	10	11	11	17	12	
16	23	9	19	21	14	15	25	12	12	25	26	13	34	17	
32	18	20	16	21	18	34	16	16	22	21	16	24	17	11	
