"УИК №301"	"УИК №302"	"УИК №303"	"УИК №304"	"УИК №305"	"УИК №306"	"УИК №307"	"УИК №308"	"УИК №309"	"УИК №310"	"УИК №311"	"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	
837	874	1640	1572	440	281	285	469	194	195	575	320	214	154	187	380	216	292	1194	1371	
900	950	1750	1700	490	300	300	500	230	200	650	350	200	180	200	400	220	340	1200	1450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
534	578	979	1064	218	139	171	222	150	98	317	210	96	78	120	146	121	130	755	899	
134	130	270	187	119	100	76	119	30	70	138	58	94	46	35	165	64	97	167	122	
232	242	501	449	153	61	53	159	50	32	195	82	10	56	45	89	35	113	278	429	
134	130	270	187	119	100	76	119	30	70	138	58	94	46	35	165	64	97	167	122	
534	578	978	1063	218	139	171	222	150	98	317	210	96	78	120	146	121	130	754	899	
5	16	33	17	8	0	8	1	2	1	0	0	0	2	0	0	3	0	12	9	
663	692	1215	1233	329	239	239	340	178	167	455	268	190	122	155	311	182	227	909	1012	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	0	5	13	1	0	0	2	1	1	2	2	0	1	2	0	1	2	4	6	
48	95	123	142	30	12	28	25	5	4	30	28	9	10	16	29	21	26	88	121	
55	69	67	83	20	12	12	30	12	12	29	17	4	15	7	21	18	12	98	89	
538	504	995	973	274	213	195	276	159	147	385	213	176	90	128	253	137	179	695	771	
9	10	8	11	4	0	2	2	0	2	2	3	0	2	1	4	1	3	11	12	
0	4	5	7	0	1	1	2	0	0	6	4	1	2	1	2	1	3	7	4	
4	8	7	3	0	0	0	2	1	1	0	1	0	2	0	1	1	1	4	4	
3	2	5	1	0	1	1	1	0	0	1	0	0	0	0	1	2	1	2	5	
