"УИК №1101"	"УИК №1102"	"УИК №1103"	"УИК №1104"	"УИК №1105"	"УИК №1106"	"УИК №1107"	"УИК №1108"	"УИК №1109"	"УИК №1110"	"УИК №1111"	"УИК №1112"	"УИК №1113"	"УИК №1114"	
1018	1301	267	327	363	461	528	522	393	411	571	240	286	183	
900	1200	260	300	340	450	500	500	400	400	550	230	280	180	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
593	749	187	249	294	297	359	392	252	229	374	146	196	104	
194	213	37	37	38	105	117	79	98	136	128	67	68	52	
113	238	36	14	8	48	24	29	50	35	48	17	16	24	
194	213	37	37	38	105	117	79	98	136	128	67	68	52	
593	749	187	249	294	297	359	392	252	229	374	146	196	104	
6	10	0	3	2	4	4	0	0	0	0	0	0	1	
781	952	224	283	330	398	472	471	350	365	502	213	264	155	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	3	5	3	1	0	0	5	6	0	3	0	9	2	
90	114	21	23	16	39	51	31	27	21	32	11	37	4	
57	57	29	12	15	40	28	40	19	14	21	12	23	8	
610	746	157	236	295	309	379	391	278	320	443	187	162	140	
10	12	5	2	1	5	6	2	6	4	0	0	10	1	
4	11	2	4	1	3	2	2	7	1	2	0	8	0	
1	4	2	0	0	0	3	0	3	1	0	2	7	0	
3	5	3	3	1	2	3	0	4	4	1	1	8	0	
