"УИК №2139"	"УИК №2140"	"УИК №2141"	"УИК №2142"	"УИК №2143"	"УИК №2144"	"УИК №2145"	"УИК №2146"	"УИК №2147"	"УИК №2148"	"УИК №2149"	"УИК №2150"	"УИК №2151"	"УИК №2152"	"УИК №2153"	"УИК №2154"	"УИК №2155"	"УИК №2156"	"УИК №2157"	"УИК №2158"	"УИК №2159"	"УИК №2160"	"УИК №2161"	"УИК №2162"	"УИК №2163"	"УИК №2164"	"УИК №2165"	"УИК №2166"	"УИК №2167"	
2632	2310	2433	2463	2170	2172	2130	1184	1265	1202	910	2136	1166	431	322	83	124	305	404	319	1016	203	444	165	316	810	149	492	559	
2600	2350	2450	2500	2250	2150	2200	1200	1300	1250	900	2200	1150	450	300	70	130	300	400	300	1000	200	450	150	300	800	150	500	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1505	1392	1448	1438	988	1089	1168	509	604	517	348	1744	784	177	152	64	78	195	271	194	599	128	298	106	168	427	74	238	361	
169	169	42	182	39	81	74	121	148	151	137	212	85	144	79	3	10	27	60	30	91	10	67	21	29	44	19	89	78	
926	789	960	880	1223	980	958	570	548	582	415	244	281	129	69	3	42	78	69	76	310	62	85	23	103	329	57	173	111	
169	169	42	182	39	81	74	121	148	151	137	212	85	144	79	3	10	27	60	30	91	10	67	21	29	44	19	89	78	
1505	1392	1448	1438	988	1089	1168	509	604	517	348	1744	784	177	152	64	78	195	271	194	599	128	298	106	168	427	74	238	361	
18	16	26	13	0	15	12	8	3	6	1	6	6	6	0	1	0	2	4	4	9	0	0	1	0	5	0	1	2	
1656	1545	1464	1607	1027	1155	1230	622	749	662	484	1950	863	315	231	66	88	220	327	220	681	138	365	126	197	466	93	326	437	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	12	13	17	4	6	5	4	5	3	7	13	8	2	1	1	1	1	2	1	7	3	1	2	1	5	0	2	0	
290	263	306	281	212	207	257	128	144	137	86	406	102	52	51	4	10	18	40	28	113	18	36	8	12	82	5	41	57	
170	150	158	173	94	171	126	63	85	57	58	199	39	43	38	12	12	23	32	16	88	17	34	10	28	50	6	34	40	
1139	1084	941	1095	690	733	808	412	489	451	324	1295	703	211	133	47	65	176	243	170	453	100	288	101	151	321	82	244	331	
14	14	19	17	9	12	13	2	10	3	1	17	4	4	6	0	0	0	3	2	6	0	3	0	1	1	0	2	7	
21	8	13	9	7	8	13	2	6	3	2	11	3	1	2	2	0	2	3	3	6	0	0	2	2	5	0	1	0	
7	12	8	10	9	13	6	6	8	7	3	7	2	0	0	0	0	0	3	0	4	0	2	2	0	1	0	0	2	
5	2	6	5	2	5	2	5	2	1	3	2	2	2	0	0	0	0	1	0	4	0	1	1	2	1	0	2	0	
