"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	
1880	979	134	211	704	208	216	119	165	284	105	167	110	
1962	1003	140	208	708	214	238	113	146	316	107	174	112	
0	0	0	0	0	0	0	0	0	0	0	0	0	
1194	488	77	120	375	105	137	68	56	144	69	106	73	
94	141	32	47	99	58	27	19	55	43	11	35	8	
674	374	31	41	234	51	74	26	35	129	27	33	31	
94	141	32	47	99	58	27	19	55	43	11	35	8	
1194	488	77	120	375	105	137	68	56	144	69	105	73	
5	4	0	4	3	1	1	0	0	3	0	0	0	
1283	625	109	163	471	162	163	87	111	184	80	140	81	
0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	

10	7	3	2	7	1	0	0	1	0	0	0	0	
210	90	12	14	40	29	17	7	5	17	9	12	12	
85	52	11	3	41	6	8	8	11	18	9	8	6	
945	460	82	143	373	123	134	69	92	145	59	118	62	
6	3	1	0	2	2	0	0	1	3	0	0	0	
13	8	0	0	5	1	2	2	1	0	0	1	1	
6	3	0	1	0	0	2	0	0	1	3	0	0	
8	2	0	0	3	0	0	1	0	0	0	1	0	
