"УИК №847"	"УИК №848"	"УИК №849"	"УИК №850"	"УИК №851"	"УИК №852"	"УИК №853"	"УИК №854"	"УИК №855"	"УИК №856"	"УИК №857"	"УИК №858"	"УИК №859"	"УИК №860"	"УИК №861"	"УИК №862"	"УИК №863"	"УИК №864"	"УИК №865"	"УИК №866"	"УИК №867"	"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	
991	1013	430	585	950	955	899	982	274	222	271	896	273	210	440	555	239	488	449	493	201	453	344	609	413	240	299	
980	1010	423	603	940	987	902	982	270	222	269	934	274	206	437	572	227	483	438	492	188	466	341	609	416	244	297	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
575	547	308	336	589	425	447	512	197	135	173	441	144	124	324	358	155	282	336	286	112	302	229	374	260	193	216	
27	38	19	18	34	73	37	159	44	46	27	63	28	15	11	57	24	75	38	56	29	52	30	88	36	0	13	
378	425	96	249	317	489	418	311	29	41	69	430	102	67	102	157	48	126	64	150	47	112	82	147	120	51	68	
27	38	19	18	34	73	37	159	44	46	27	63	28	15	11	57	24	75	38	56	29	52	30	88	36	0	13	
575	547	308	336	589	425	447	512	197	135	173	441	144	124	324	358	155	282	336	286	112	302	229	374	260	193	216	
11	5	4	2	6	12	2	0	1	1	0	4	0	1	0	0	3	2	0	0	0	2	0	0	1	0	1	
591	580	323	352	617	486	482	671	240	180	200	500	172	138	335	415	176	355	374	342	141	352	259	462	295	193	228	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	3	2	5	2	1	3	2	0	0	2	0	2	0	0	3	3	2	2	2	0	0	2	0	0	3	0	
145	133	11	77	104	111	138	77	19	11	8	86	8	10	25	24	6	16	37	56	27	25	23	40	28	17	20	
27	48	9	20	42	27	33	31	21	9	14	33	13	16	12	25	17	24	24	21	9	25	25	26	15	8	6	
402	385	296	244	452	338	303	545	193	159	176	369	147	108	295	357	144	307	305	259	101	299	205	390	248	161	200	
6	2	1	0	6	5	1	10	4	0	0	3	1	0	1	1	6	2	2	0	1	3	0	3	0	1	1	
4	5	4	2	9	1	3	3	3	0	0	4	1	4	2	4	0	3	4	3	2	0	1	2	3	2	1	
3	0	0	4	2	1	1	3	0	0	0	3	0	0	0	0	0	0	0	1	1	0	2	1	1	1	0	
2	4	0	0	0	2	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	
